session,frame,grid,variant,orientation,matched,mismatched,partner
1680410249,1680410249_000000,4,full,180,-0.0781600422702315,-0.133210560331345,1680410249_000007
1680410249,1680410249_000001,4,full,180,-0.04313352102019243,-0.12584691225457162,1680410249_000008
1680410249,1680410249_000002,4,full,180,0.04316078060210362,-0.029589324768266034,1680410249_000001
1680410249,1680410249_000003,4,full,180,0.017099383115135664,-0.03173243008483525,1680410249_000005
1680410249,1680410249_000004,4,full,180,-0.03207345286519458,-0.16903343745730579,1680410249_000003
1680410249,1680410249_000005,4,full,180,0.15922950162771707,0.04958075277600801,1680410249_000004
1680410249,1680410249_000006,4,full,180,0.37941091925362996,0.29506026675237773,1680410249_000002
1680410249,1680410249_000007,4,full,180,0.34436867000524735,0.2821354543443173,1680410249_000000
1680410249,1680410249_000008,4,full,180,-0.04882218031161969,-0.16203036619103695,1680410249_000009
1680410249,1680410249_000009,4,full,180,0.4316893969355901,0.2934550245189019,1680410249_000006
1680410569,1680410569_000000,4,full,180,0.15123232427307984,0.07969060243571545,1680410569_000009
1680410569,1680410569_000001,4,full,180,0.16508063045004992,0.11113798358817074,1680410569_000004
1680410569,1680410569_000002,4,full,180,0.08349099777569013,0.004843060438381323,1680410569_000008
1680410569,1680410569_000003,4,full,180,-0.16099331955332852,-0.22642997389518968,1680410569_000006
1680410569,1680410569_000004,4,full,180,0.0598206600592175,0.001592902962192666,1680410569_000000
1680410569,1680410569_000005,4,full,180,-0.06891271805478015,-0.09721475844820959,1680410569_000001
1680410569,1680410569_000006,4,full,180,0.10368390311168663,-0.025346871264815413,1680410569_000007
1680410569,1680410569_000007,4,full,180,-0.024153275514832817,-0.0815487488137835,1680410569_000002
1680410569,1680410569_000008,4,full,180,0.32397561940382463,0.22231356572047214,1680410569_000003
1680410569,1680410569_000009,4,full,180,0.1225540586264049,0.037562494619571424,1680410569_000005
1680412337,1680412337_000000,4,full,180,0.3744599235980068,0.1389481735979566,1680412337_000320
1680412337,1680412337_000012,4,full,180,0.0856922714612431,-0.10281931342451939,1680412337_000443
1680412337,1680412337_000025,4,full,180,-0.054620038179215076,-0.2577558542609399,1680412337_000148
1680412337,1680412337_000037,4,full,180,-0.1413790560027872,-0.21147495615313638,1680412337_000394
1680412337,1680412337_000049,4,full,180,0.11730297204601903,-0.050504214479558225,1680412337_000283
