session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_044052,20241219_044052_000000,4,full,0,-0.10724820516398305,-0.11160305031068357,20241219_044052_000029
20241219_044052,20241219_044052_000001,4,full,0,0.19342947069766278,0.1190510117838635,20241219_044052_000028
20241219_044052,20241219_044052_000002,4,full,0,-0.02551352684493614,-0.019356986032479803,20241219_044052_000024
20241219_044052,20241219_044052_000003,4,full,0,0.026438289831033662,0.09871334872919664,20241219_044052_000033
20241219_044052,20241219_044052_000004,4,full,0,-0.08461272177128239,0.011592123357086445,20241219_044052_000035
20241219_044052,20241219_044052_000005,4,full,0,0.04948126293313456,0.09849408062456112,20241219_044052_000060
20241219_044052,20241219_044052_000006,4,full,0,-0.00017735933304962684,0.008056497823707775,20241219_044052_000023
20241219_044052,20241219_044052_000007,4,full,0,-0.12497598880060327,-0.2068507081139156,20241219_044052_000040
20241219_044052,20241219_044052_000008,4,full,0,-0.16696963880617552,-0.17122218887182394,20241219_044052_000011
20241219_044052,20241219_044052_000009,4,full,0,0.019765329682732518,-0.028770815258750915,20241219_044052_000027
20241219_044052,20241219_044052_000010,4,full,0,-0.0068315113561815966,-0.06322659890325501,20241219_044052_000061
20241219_044052,20241219_044052_000011,4,full,0,-0.24023864737543865,-0.29944389527607557,20241219_044052_000003
20241219_044052,20241219_044052_000012,4,full,0,0.2812694805145227,0.24327284988662087,20241219_044052_000005
20241219_044052,20241219_044052_000013,4,full,0,-0.1415399574989328,-0.18008765922947342,20241219_044052_000007
20241219_044052,20241219_044052_000014,4,full,0,0.3167153059151953,0.23910929131863864,20241219_044052_000042
20241219_044052,20241219_044052_000015,4,full,0,0.10521226612178435,0.03208818153959526,20241219_044052_000045
20241219_044052,20241219_044052_000016,4,full,0,0.31209688239377914,0.3495316792804318,20241219_044052_000012
20241219_044052,20241219_044052_000017,4,full,0,0.1611706859984259,0.2223375941213297,20241219_044052_000059
20241219_044052,20241219_044052_000018,4,full,0,0.20396769170460735,0.18622789410960172,20241219_044052_000000
20241219_044052,20241219_044052_000019,4,full,0,-0.08891106814979671,-0.15655237725903473,20241219_044052_000055
20241219_044052,20241219_044052_000020,4,full,0,-0.05967761727007475,-0.067280477272277,20241219_044052_000001
20241219_044052,20241219_044052_000021,4,full,0,0.09893627437692894,0.08273514123531182,20241219_044052_000044
20241219_044052,20241219_044052_000022,4,full,0,0.015708170245196672,-0.006610543905038346,20241219_044052_000041
20241219_044052,20241219_044052_000023,4,full,0,-0.040121861522729424,-0.027761164302256947,20241219_044052_000014
20241219_044052,20241219_044052_000024,4,full,0,-0.1633449272956279,-0.30291914736926245,20241219_044052_000015
20241219_044052,20241219_044052_000025,4,full,0,-0.20488283131327548,-0.16042769436934218,20241219_044052_000017
20241219_044052,20241219_044052_000026,4,full,0,0.0448537103195,0.05560833989352504,20241219_044052_000047
20241219_044052,20241219_044052_000027,4,full,0,-0.0908992897086725,-0.07867176925865006,20241219_044052_000020
20241219_044052,20241219_044052_000028,4,full,0,-0.10971370456313478,-0.11133999166897339,20241219_044052_000063
