[int16] calibrated on 15 rows (7 august) in 39.6s; scale map 188 tensors (15 inherited); bounds i64-safe: True
[int16 august   1/112] august 600: int correct 0.006147 (fp32 0.006141) wrong mean 0.014706 (3 offsets)  clips 0  (10s)
[int16 august   9/112] august 608: int correct 0.006751 (fp32 0.006743) wrong mean 0.015950 (4 offsets)  clips 0  (88s)
[int16 august  17/112] august 616: int correct 0.006078 (fp32 0.006074) wrong mean 0.014842 (5 offsets)  clips 0  (157s)
[int16 august  25/112] august 624: int correct 0.006394 (fp32 0.006380) wrong mean 0.015367 (5 offsets)  clips 0  (236s)
[int16 august  33/112] august 632: int correct 0.007298 (fp32 0.007286) wrong mean 0.017903 (5 offsets)  clips 0  (313s)
[int16 august  41/112] august 640: int correct 0.006787 (fp32 0.006781) wrong mean 0.016163 (5 offsets)  clips 0  (387s)
[int16 august  49/112] august 648: int correct 0.007196 (fp32 0.007185) wrong mean 0.016823 (5 offsets)  clips 0  (446s)
[int16 august  57/112] august 656: int correct 0.007325 (fp32 0.007321) wrong mean 0.016987 (5 offsets)  clips 0  (505s)
[int16 august  65/112] august 664: int correct 0.007349 (fp32 0.007336) wrong mean 0.017091 (5 offsets)  clips 0  (563s)
[int16 august  73/112] august 672: int correct 0.007180 (fp32 0.007173) wrong mean 0.017096 (5 offsets)  clips 0  (622s)
[int16 august  81/112] august 680: int correct 0.007162 (fp32 0.007151) wrong mean 0.017309 (5 offsets)  clips 0  (680s)
[int16 august  89/112] august 688: int correct 0.006710 (fp32 0.006696) wrong mean 0.015640 (4 offsets)  clips 0  (731s)
[int16 august  97/112] august 696: int correct 0.006884 (fp32 0.006876) wrong mean 0.016538 (4 offsets)  clips 0  (782s)
[int16 august 105/112] august 704: int correct 0.007404 (fp32 0.007399) wrong mean 0.015774 (3 offsets)  clips 0  (822s)
wrote oracle/final/agreement_int16_august.json (855s)
