timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:22:30.916, 0 MiB, 81920 MiB, 0 %, 62.94 W, 34
2026/09/07 22:23:00.930, 0 MiB, 81920 MiB, 0 %, 62.88 W, 34
2026/09/07 22:23:30.931, 2289 MiB, 81920 MiB, 0 %, 71.08 W, 35
2026/09/07 22:24:00.931, 25903 MiB, 81920 MiB, 89 %, 101.50 W, 40
2026/09/07 22:24:30.933, 25903 MiB, 81920 MiB, 41 %, 109.28 W, 44
2026/09/07 22:25:00.937, 25903 MiB, 81920 MiB, 0 %, 88.87 W, 41
2026/09/07 22:25:30.943, 25903 MiB, 81920 MiB, 0 %, 89.57 W, 41
2026/09/07 22:26:00.944, 25903 MiB, 81920 MiB, 77 %, 207.32 W, 46
2026/09/07 22:26:30.946, 25903 MiB, 81920 MiB, 99 %, 294.17 W, 48
2026/09/07 22:27:00.948, 25903 MiB, 81920 MiB, 62 %, 123.31 W, 43
2026/09/07 22:27:30.949, 25903 MiB, 81920 MiB, 75 %, 115.34 W, 44
2026/09/07 22:28:00.953, 25903 MiB, 81920 MiB, 82 %, 91.86 W, 43
2026/09/07 22:28:30.955, 26671 MiB, 81920 MiB, 0 %, 89.20 W, 41
2026/09/07 22:29:00.956, 26671 MiB, 81920 MiB, 2 %, 90.07 W, 43
2026/09/07 22:29:30.957, 26671 MiB, 81920 MiB, 37 %, 91.94 W, 44
2026/09/07 22:30:00.959, 26671 MiB, 81920 MiB, 2 %, 122.57 W, 45
2026/09/07 22:30:30.963, 26671 MiB, 81920 MiB, 60 %, 90.43 W, 42
2026/09/07 22:31:00.965, 26895 MiB, 81920 MiB, 33 %, 90.43 W, 42
2026/09/07 22:31:30.966, 26895 MiB, 81920 MiB, 48 %, 109.16 W, 45
2026/09/07 22:32:00.967, 26895 MiB, 81920 MiB, 75 %, 175.15 W, 46
2026/09/07 22:32:30.969, 26895 MiB, 81920 MiB, 2 %, 91.35 W, 42
2026/09/07 22:33:00.970, 26895 MiB, 81920 MiB, 62 %, 209.92 W, 44
2026/09/07 22:33:30.971, 26895 MiB, 81920 MiB, 70 %, 100.10 W, 44
2026/09/07 22:34:00.973, 26895 MiB, 81920 MiB, 85 %, 188.63 W, 48
2026/09/07 22:34:30.974, 26895 MiB, 81920 MiB, 29 %, 149.31 W, 45
2026/09/07 22:35:00.976, 26895 MiB, 81920 MiB, 0 %, 89.74 W, 42
2026/09/07 22:35:30.978, 26895 MiB, 81920 MiB, 0 %, 90.52 W, 42
2026/09/07 22:36:00.979, 26895 MiB, 81920 MiB, 91 %, 299.17 W, 50
2026/09/07 22:36:30.980, 26895 MiB, 81920 MiB, 38 %, 153.11 W, 44
2026/09/07 22:37:00.982, 26895 MiB, 81920 MiB, 0 %, 91.12 W, 42
2026/09/07 22:37:30.993, 26895 MiB, 81920 MiB, 0 %, 90.43 W, 42
2026/09/07 22:38:00.994, 26895 MiB, 81920 MiB, 10 %, 281.15 W, 43
2026/09/07 22:38:30.995, 26895 MiB, 81920 MiB, 0 %, 191.97 W, 44
2026/09/07 22:39:00.997, 26895 MiB, 81920 MiB, 0 %, 72.28 W, 40
2026/09/07 22:39:30.997, 26895 MiB, 81920 MiB, 8 %, 223.96 W, 44
2026/09/07 22:40:01.002, 26895 MiB, 81920 MiB, 72 %, 91.31 W, 43
2026/09/07 22:40:31.004, 26895 MiB, 81920 MiB, 100 %, 171.13 W, 43
2026/09/07 22:41:01.005, 26895 MiB, 81920 MiB, 14 %, 282.02 W, 46
2026/09/07 22:41:31.007, 26895 MiB, 81920 MiB, 59 %, 98.33 W, 44
2026/09/07 22:42:01.008, 26895 MiB, 81920 MiB, 59 %, 118.98 W, 44
2026/09/07 22:42:31.010, 26895 MiB, 81920 MiB, 52 %, 296.55 W, 45
2026/09/07 22:43:01.013, 26895 MiB, 81920 MiB, 22 %, 91.14 W, 43
2026/09/07 22:43:31.015, 26895 MiB, 81920 MiB, 0 %, 90.44 W, 42
2026/09/07 22:44:01.020, 26895 MiB, 81920 MiB, 30 %, 293.28 W, 48
2026/09/07 22:44:31.021, 26895 MiB, 81920 MiB, 74 %, 213.72 W, 48
