timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:15:00.346, 0 MiB, 81920 MiB, 0 %, 58.55 W, 34
2026/09/07 22:15:30.355, 473 MiB, 81920 MiB, 0 %, 64.42 W, 35
2026/09/07 22:16:00.356, 25551 MiB, 81920 MiB, 5 %, 65.35 W, 38
2026/09/07 22:16:30.358, 25551 MiB, 81920 MiB, 97 %, 115.57 W, 46
2026/09/07 22:17:00.358, 25743 MiB, 81920 MiB, 54 %, 262.33 W, 46
2026/09/07 22:17:30.360, 25743 MiB, 81920 MiB, 81 %, 341.27 W, 48
2026/09/07 22:18:00.362, 25743 MiB, 81920 MiB, 0 %, 81.82 W, 42
2026/09/07 22:18:30.364, 25743 MiB, 81920 MiB, 25 %, 81.82 W, 44
2026/09/07 22:19:00.368, 25743 MiB, 81920 MiB, 100 %, 223.00 W, 48
2026/09/07 22:19:30.371, 26575 MiB, 81920 MiB, 93 %, 265.88 W, 53
2026/09/07 22:20:00.372, 26575 MiB, 81920 MiB, 75 %, 144.73 W, 48
2026/09/07 22:20:30.374, 26703 MiB, 81920 MiB, 50 %, 113.58 W, 47
2026/09/07 22:21:00.375, 26703 MiB, 81920 MiB, 88 %, 106.13 W, 52
2026/09/07 22:21:30.376, 26703 MiB, 81920 MiB, 64 %, 213.96 W, 52
2026/09/07 22:22:00.411, 26703 MiB, 81920 MiB, 60 %, 294.22 W, 54
2026/09/07 22:22:30.413, 26703 MiB, 81920 MiB, 27 %, 84.08 W, 48
2026/09/07 22:23:00.414, 26703 MiB, 81920 MiB, 33 %, 203.65 W, 47
2026/09/07 22:23:30.415, 26703 MiB, 81920 MiB, 85 %, 277.30 W, 52
2026/09/07 22:24:00.416, 26703 MiB, 81920 MiB, 33 %, 116.15 W, 49
2026/09/07 22:24:30.418, 26703 MiB, 81920 MiB, 34 %, 84.23 W, 46
2026/09/07 22:25:00.419, 26703 MiB, 81920 MiB, 41 %, 235.02 W, 51
2026/09/07 22:25:30.420, 26703 MiB, 81920 MiB, 22 %, 82.53 W, 46
2026/09/07 22:26:00.422, 26703 MiB, 81920 MiB, 66 %, 117.61 W, 48
2026/09/07 22:26:30.423, 26703 MiB, 81920 MiB, 3 %, 185.57 W, 48
2026/09/07 22:27:00.424, 26703 MiB, 81920 MiB, 92 %, 182.12 W, 47
2026/09/07 22:27:30.425, 26703 MiB, 81920 MiB, 35 %, 115.10 W, 48
2026/09/07 22:28:00.426, 26703 MiB, 81920 MiB, 0 %, 82.26 W, 45
2026/09/07 22:28:30.428, 26703 MiB, 81920 MiB, 3 %, 191.37 W, 48
2026/09/07 22:29:00.429, 26703 MiB, 81920 MiB, 0 %, 177.57 W, 48
2026/09/07 22:29:30.435, 26703 MiB, 81920 MiB, 36 %, 101.08 W, 47
2026/09/07 22:30:00.437, 26703 MiB, 81920 MiB, 85 %, 111.24 W, 51
2026/09/07 22:30:30.439, 26703 MiB, 81920 MiB, 14 %, 180.32 W, 46
2026/09/07 22:31:00.440, 26703 MiB, 81920 MiB, 50 %, 234.47 W, 48
2026/09/07 22:31:30.442, 26703 MiB, 81920 MiB, 68 %, 266.08 W, 51
2026/09/07 22:32:00.443, 26703 MiB, 81920 MiB, 41 %, 82.02 W, 47
2026/09/07 22:32:30.444, 26703 MiB, 81920 MiB, 0 %, 82.53 W, 45
2026/09/07 22:33:00.446, 26703 MiB, 81920 MiB, 0 %, 82.02 W, 45
2026/09/07 22:33:30.448, 26703 MiB, 81920 MiB, 61 %, 131.23 W, 48
2026/09/07 22:34:00.451, 26703 MiB, 81920 MiB, 4 %, 82.35 W, 46
2026/09/07 22:34:30.452, 26703 MiB, 81920 MiB, 88 %, 237.14 W, 51
2026/09/07 22:35:00.453, 26703 MiB, 81920 MiB, 53 %, 85.37 W, 50
2026/09/07 22:35:30.455, 26703 MiB, 81920 MiB, 40 %, 82.52 W, 46
2026/09/07 22:36:00.458, 26703 MiB, 81920 MiB, 30 %, 116.81 W, 49
2026/09/07 22:36:30.460, 26703 MiB, 81920 MiB, 60 %, 340.95 W, 53
2026/09/07 22:37:00.461, 26703 MiB, 81920 MiB, 0 %, 82.35 W, 45
2026/09/07 22:37:30.462, 26703 MiB, 81920 MiB, 0 %, 93.39 W, 46
2026/09/07 22:38:00.467, 26703 MiB, 81920 MiB, 0 %, 82.88 W, 45
2026/09/07 22:38:30.468, 26703 MiB, 81920 MiB, 36 %, 155.27 W, 48
2026/09/07 22:39:00.476, 26703 MiB, 81920 MiB, 73 %, 131.36 W, 49
2026/09/07 22:39:30.477, 26703 MiB, 81920 MiB, 0 %, 85.04 W, 45
2026/09/07 22:40:00.479, 26703 MiB, 81920 MiB, 23 %, 206.05 W, 50
2026/09/07 22:40:30.482, 26703 MiB, 81920 MiB, 70 %, 235.75 W, 51
2026/09/07 22:41:00.496, 26703 MiB, 81920 MiB, 0 %, 82.78 W, 46
2026/09/07 22:41:30.497, 26703 MiB, 81920 MiB, 0 %, 83.05 W, 46
2026/09/07 22:42:00.498, 26703 MiB, 81920 MiB, 62 %, 156.79 W, 49
2026/09/07 22:42:30.500, 26703 MiB, 81920 MiB, 23 %, 83.13 W, 46
2026/09/07 22:43:00.501, 26703 MiB, 81920 MiB, 39 %, 82.96 W, 46
2026/09/07 22:43:30.505, 26703 MiB, 81920 MiB, 0 %, 83.48 W, 46
2026/09/07 22:44:00.510, 26703 MiB, 81920 MiB, 0 %, 83.03 W, 46
2026/09/07 22:44:30.512, 28431 MiB, 81920 MiB, 23 %, 139.82 W, 48
2026/09/07 22:45:00.513, 28431 MiB, 81920 MiB, 65 %, 223.13 W, 51
2026/09/07 22:45:30.514, 28433 MiB, 81920 MiB, 92 %, 274.93 W, 52
2026/09/07 22:46:00.515, 28433 MiB, 81920 MiB, 36 %, 141.15 W, 50
2026/09/07 22:46:30.517, 28433 MiB, 81920 MiB, 46 %, 128.28 W, 49
2026/09/07 22:47:00.520, 28433 MiB, 81920 MiB, 61 %, 159.78 W, 51
2026/09/07 22:47:30.523, 28433 MiB, 81920 MiB, 83 %, 338.43 W, 51
2026/09/07 22:48:00.524, 28433 MiB, 81920 MiB, 54 %, 214.65 W, 49
2026/09/07 22:48:30.525, 28433 MiB, 81920 MiB, 71 %, 293.26 W, 53
2026/09/07 22:49:00.531, 28433 MiB, 81920 MiB, 1 %, 100.04 W, 48
2026/09/07 22:49:30.533, 28433 MiB, 81920 MiB, 0 %, 82.86 W, 45
2026/09/07 22:50:00.535, 28433 MiB, 81920 MiB, 0 %, 82.18 W, 45
2026/09/07 22:50:30.536, 28433 MiB, 81920 MiB, 0 %, 83.14 W, 46
2026/09/07 22:51:00.537, 28433 MiB, 81920 MiB, 29 %, 109.54 W, 51
2026/09/07 22:51:30.538, 28433 MiB, 81920 MiB, 0 %, 82.18 W, 45
2026/09/07 22:52:00.540, 28433 MiB, 81920 MiB, 0 %, 68.68 W, 44
2026/09/07 22:52:30.543, 28433 MiB, 81920 MiB, 3 %, 83.55 W, 47
2026/09/07 22:53:00.545, 28433 MiB, 81920 MiB, 0 %, 67.01 W, 43
2026/09/07 22:53:30.546, 28433 MiB, 81920 MiB, 0 %, 82.18 W, 45
2026/09/07 22:54:00.548, 28433 MiB, 81920 MiB, 14 %, 67.67 W, 44
2026/09/07 22:54:30.550, 28433 MiB, 81920 MiB, 0 %, 67.22 W, 44
2026/09/07 22:55:00.552, 28433 MiB, 81920 MiB, 69 %, 114.47 W, 50
2026/09/07 22:55:30.556, 28433 MiB, 81920 MiB, 0 %, 67.02 W, 44
2026/09/07 22:56:00.557, 28433 MiB, 81920 MiB, 60 %, 83.12 W, 47
2026/09/07 22:56:30.558, 28433 MiB, 81920 MiB, 52 %, 83.48 W, 47
2026/09/07 22:57:00.559, 28433 MiB, 81920 MiB, 28 %, 93.48 W, 46
2026/09/07 22:57:30.561, 28433 MiB, 81920 MiB, 64 %, 132.23 W, 52
2026/09/07 22:58:00.563, 28433 MiB, 81920 MiB, 99 %, 256.51 W, 54
2026/09/07 22:58:30.565, 28433 MiB, 81920 MiB, 64 %, 337.96 W, 52
2026/09/07 22:59:00.566, 28433 MiB, 81920 MiB, 21 %, 242.70 W, 47
2026/09/07 22:59:30.568, 28433 MiB, 81920 MiB, 58 %, 82.94 W, 46
2026/09/07 23:00:00.570, 28433 MiB, 81920 MiB, 0 %, 82.43 W, 45
2026/09/07 23:00:30.571, 28433 MiB, 81920 MiB, 82 %, 271.39 W, 52
2026/09/07 23:01:00.573, 28433 MiB, 81920 MiB, 76 %, 82.86 W, 46
2026/09/07 23:01:30.576, 28433 MiB, 81920 MiB, 0 %, 67.74 W, 44
2026/09/07 23:02:00.577, 28433 MiB, 81920 MiB, 17 %, 87.68 W, 45
2026/09/07 23:02:30.578, 28433 MiB, 81920 MiB, 35 %, 86.40 W, 46
2026/09/07 23:03:00.579, 28433 MiB, 81920 MiB, 7 %, 87.26 W, 46
2026/09/07 23:03:30.581, 28433 MiB, 81920 MiB, 83 %, 213.46 W, 49
2026/09/07 23:04:00.583, 28433 MiB, 81920 MiB, 3 %, 82.86 W, 45
2026/09/07 23:04:30.584, 28433 MiB, 81920 MiB, 33 %, 100.48 W, 47
2026/09/07 23:05:00.585, 28433 MiB, 81920 MiB, 0 %, 82.77 W, 45
2026/09/07 23:05:30.586, 28433 MiB, 81920 MiB, 0 %, 66.95 W, 43
2026/09/07 23:06:00.588, 28433 MiB, 81920 MiB, 34 %, 97.38 W, 48
2026/09/07 23:06:30.589, 28433 MiB, 81920 MiB, 76 %, 83.46 W, 48
2026/09/07 23:07:00.591, 28433 MiB, 81920 MiB, 95 %, 138.21 W, 52
2026/09/07 23:07:30.592, 28433 MiB, 81920 MiB, 3 %, 82.77 W, 46
