timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:25:30.982, 0 MiB, 81920 MiB, 0 %, 59.40 W, 35
2026/09/07 22:26:00.998, 0 MiB, 81920 MiB, 0 %, 59.73 W, 36
2026/09/07 22:26:30.999, 477 MiB, 81920 MiB, 0 %, 67.09 W, 37
2026/09/07 22:27:01.000, 25613 MiB, 81920 MiB, 73 %, 122.48 W, 43
2026/09/07 22:27:31.001, 25615 MiB, 81920 MiB, 96 %, 143.09 W, 49
2026/09/07 22:28:01.004, 25615 MiB, 81920 MiB, 54 %, 85.79 W, 44
2026/09/07 22:28:31.006, 25807 MiB, 81920 MiB, 69 %, 275.22 W, 52
2026/09/07 22:29:01.007, 25807 MiB, 81920 MiB, 0 %, 85.70 W, 44
2026/09/07 22:29:31.008, 25807 MiB, 81920 MiB, 0 %, 282.92 W, 49
2026/09/07 22:30:01.013, 25807 MiB, 81920 MiB, 0 %, 85.97 W, 45
2026/09/07 22:30:31.015, 25807 MiB, 81920 MiB, 27 %, 299.22 W, 49
2026/09/07 22:31:01.017, 25807 MiB, 81920 MiB, 0 %, 87.26 W, 45
2026/09/07 22:31:31.029, 26607 MiB, 81920 MiB, 87 %, 128.88 W, 49
2026/09/07 22:32:01.033, 26607 MiB, 81920 MiB, 29 %, 268.43 W, 50
2026/09/07 22:32:31.035, 26607 MiB, 81920 MiB, 40 %, 141.91 W, 49
2026/09/07 22:33:01.036, 26607 MiB, 81920 MiB, 35 %, 89.75 W, 47
2026/09/07 22:33:31.038, 26607 MiB, 81920 MiB, 60 %, 85.55 W, 45
2026/09/07 22:34:01.039, 26703 MiB, 81920 MiB, 36 %, 143.81 W, 50
2026/09/07 22:34:31.040, 26703 MiB, 81920 MiB, 89 %, 154.07 W, 50
2026/09/07 22:35:01.041, 26703 MiB, 81920 MiB, 0 %, 69.43 W, 45
2026/09/07 22:35:31.043, 26703 MiB, 81920 MiB, 17 %, 287.67 W, 48
2026/09/07 22:36:01.044, 26703 MiB, 81920 MiB, 2 %, 86.57 W, 46
2026/09/07 22:36:31.045, 26703 MiB, 81920 MiB, 65 %, 149.48 W, 50
2026/09/07 22:37:01.046, 26703 MiB, 81920 MiB, 64 %, 91.50 W, 48
2026/09/07 22:37:31.047, 26703 MiB, 81920 MiB, 56 %, 87.26 W, 51
2026/09/07 22:38:01.049, 26703 MiB, 81920 MiB, 65 %, 89.61 W, 51
2026/09/07 22:38:31.051, 26703 MiB, 81920 MiB, 6 %, 153.52 W, 51
2026/09/07 22:39:01.052, 26705 MiB, 81920 MiB, 0 %, 86.06 W, 45
2026/09/07 22:39:31.053, 26705 MiB, 81920 MiB, 3 %, 86.42 W, 47
2026/09/07 22:40:01.054, 26705 MiB, 81920 MiB, 33 %, 86.75 W, 48
2026/09/07 22:40:31.056, 26705 MiB, 81920 MiB, 75 %, 115.33 W, 49
2026/09/07 22:41:01.058, 26705 MiB, 81920 MiB, 4 %, 100.27 W, 49
2026/09/07 22:41:31.063, 26705 MiB, 81920 MiB, 49 %, 93.46 W, 47
2026/09/07 22:42:01.063, 26705 MiB, 81920 MiB, 48 %, 87.89 W, 48
2026/09/07 22:42:31.065, 26705 MiB, 81920 MiB, 0 %, 69.86 W, 44
2026/09/07 22:43:01.067, 26705 MiB, 81920 MiB, 36 %, 101.25 W, 49
2026/09/07 22:43:31.070, 26705 MiB, 81920 MiB, 44 %, 87.53 W, 47
2026/09/07 22:44:01.072, 26705 MiB, 81920 MiB, 58 %, 135.64 W, 49
2026/09/07 22:44:31.074, 26705 MiB, 81920 MiB, 24 %, 122.61 W, 47
2026/09/07 22:45:01.075, 26705 MiB, 81920 MiB, 67 %, 104.61 W, 49
2026/09/07 22:45:31.077, 26705 MiB, 81920 MiB, 0 %, 92.43 W, 46
2026/09/07 22:46:01.079, 26705 MiB, 81920 MiB, 81 %, 298.60 W, 54
2026/09/07 22:46:31.080, 26705 MiB, 81920 MiB, 25 %, 89.16 W, 47
2026/09/07 22:47:01.081, 26705 MiB, 81920 MiB, 0 %, 105.37 W, 47
2026/09/07 22:47:31.083, 26705 MiB, 81920 MiB, 61 %, 91.14 W, 54
2026/09/07 22:48:01.085, 26705 MiB, 81920 MiB, 6 %, 87.78 W, 46
2026/09/07 22:48:31.091, 26705 MiB, 81920 MiB, 34 %, 131.23 W, 48
2026/09/07 22:49:01.092, 26705 MiB, 81920 MiB, 75 %, 365.96 W, 53
2026/09/07 22:49:31.093, 26705 MiB, 81920 MiB, 2 %, 116.81 W, 49
2026/09/07 22:50:01.094, 26705 MiB, 81920 MiB, 30 %, 88.97 W, 49
2026/09/07 22:50:31.095, 26705 MiB, 81920 MiB, 57 %, 286.47 W, 50
2026/09/07 22:51:01.098, 26705 MiB, 81920 MiB, 34 %, 275.50 W, 52
2026/09/07 22:51:31.101, 26705 MiB, 81920 MiB, 87 %, 106.73 W, 50
2026/09/07 22:52:01.102, 26705 MiB, 81920 MiB, 0 %, 69.95 W, 45
2026/09/07 22:52:31.107, 26705 MiB, 81920 MiB, 59 %, 265.49 W, 50
2026/09/07 22:53:01.110, 26705 MiB, 81920 MiB, 29 %, 176.56 W, 52
2026/09/07 22:53:31.112, 26705 MiB, 81920 MiB, 96 %, 194.76 W, 53
2026/09/07 22:54:01.115, 26705 MiB, 81920 MiB, 51 %, 141.17 W, 52
2026/09/07 22:54:31.116, 26705 MiB, 81920 MiB, 97 %, 303.42 W, 53
2026/09/07 22:55:01.117, 26705 MiB, 81920 MiB, 27 %, 155.43 W, 51
2026/09/07 22:55:31.118, 26705 MiB, 81920 MiB, 57 %, 87.71 W, 46
2026/09/07 22:56:01.120, 28433 MiB, 81920 MiB, 0 %, 86.33 W, 46
2026/09/07 22:56:31.121, 28433 MiB, 81920 MiB, 86 %, 99.56 W, 50
2026/09/07 22:57:01.123, 28433 MiB, 81920 MiB, 30 %, 238.99 W, 51
2026/09/07 22:57:31.124, 28433 MiB, 81920 MiB, 52 %, 86.24 W, 47
2026/09/07 22:58:01.125, 28433 MiB, 81920 MiB, 66 %, 88.05 W, 49
2026/09/07 22:58:31.127, 28433 MiB, 81920 MiB, 0 %, 173.14 W, 52
2026/09/07 22:59:01.129, 28433 MiB, 81920 MiB, 19 %, 112.79 W, 49
2026/09/07 22:59:31.130, 28433 MiB, 81920 MiB, 60 %, 100.03 W, 48
2026/09/07 23:00:01.131, 28433 MiB, 81920 MiB, 28 %, 240.81 W, 47
2026/09/07 23:00:31.133, 28433 MiB, 81920 MiB, 66 %, 127.81 W, 50
2026/09/07 23:01:01.134, 28433 MiB, 81920 MiB, 43 %, 283.51 W, 53
2026/09/07 23:01:31.136, 28433 MiB, 81920 MiB, 0 %, 86.15 W, 46
2026/09/07 23:02:01.137, 28433 MiB, 81920 MiB, 0 %, 69.68 W, 44
2026/09/07 23:02:31.139, 28433 MiB, 81920 MiB, 84 %, 192.16 W, 51
2026/09/07 23:03:01.143, 28433 MiB, 81920 MiB, 1 %, 86.30 W, 46
2026/09/07 23:03:31.145, 28433 MiB, 81920 MiB, 0 %, 86.30 W, 46
2026/09/07 23:04:01.146, 28433 MiB, 81920 MiB, 44 %, 145.15 W, 48
2026/09/07 23:04:31.147, 28433 MiB, 81920 MiB, 61 %, 106.46 W, 49
2026/09/07 23:05:01.149, 28433 MiB, 81920 MiB, 72 %, 91.41 W, 50
2026/09/07 23:05:31.151, 28433 MiB, 81920 MiB, 13 %, 86.99 W, 46
2026/09/07 23:06:01.152, 28433 MiB, 81920 MiB, 81 %, 114.35 W, 50
2026/09/07 23:06:31.157, 28433 MiB, 81920 MiB, 37 %, 84.86 W, 45
2026/09/07 23:07:01.159, 28433 MiB, 81920 MiB, 0 %, 85.79 W, 46
2026/09/07 23:07:31.160, 28433 MiB, 81920 MiB, 0 %, 86.06 W, 46
2026/09/07 23:08:01.164, 28433 MiB, 81920 MiB, 62 %, 148.28 W, 48
2026/09/07 23:08:31.165, 28433 MiB, 81920 MiB, 0 %, 86.30 W, 46
2026/09/07 23:09:01.168, 28433 MiB, 81920 MiB, 47 %, 89.33 W, 47
2026/09/07 23:09:31.169, 28433 MiB, 81920 MiB, 54 %, 134.49 W, 50
2026/09/07 23:10:01.171, 28433 MiB, 81920 MiB, 100 %, 311.92 W, 51
2026/09/07 23:10:31.172, 28433 MiB, 81920 MiB, 71 %, 126.76 W, 48
2026/09/07 23:11:01.175, 28433 MiB, 81920 MiB, 65 %, 108.04 W, 47
2026/09/07 23:11:31.177, 28433 MiB, 81920 MiB, 54 %, 87.53 W, 48
2026/09/07 23:12:01.178, 28433 MiB, 81920 MiB, 91 %, 299.20 W, 54
2026/09/07 23:12:31.179, 28433 MiB, 81920 MiB, 68 %, 86.99 W, 47
2026/09/07 23:13:01.180, 28433 MiB, 81920 MiB, 92 %, 223.96 W, 54
2026/09/07 23:13:31.181, 28433 MiB, 81920 MiB, 96 %, 245.05 W, 51
2026/09/07 23:14:01.182, 28433 MiB, 81920 MiB, 96 %, 117.74 W, 50
2026/09/07 23:14:31.183, 28433 MiB, 81920 MiB, 64 %, 106.24 W, 51
2026/09/07 23:15:01.185, 28433 MiB, 81920 MiB, 0 %, 90.21 W, 47
2026/09/07 23:15:31.186, 28433 MiB, 81920 MiB, 0 %, 69.68 W, 44
2026/09/07 23:16:01.187, 28433 MiB, 81920 MiB, 36 %, 188.22 W, 49
2026/09/07 23:16:31.189, 28433 MiB, 81920 MiB, 0 %, 85.19 W, 45
2026/09/07 23:17:01.196, 28433 MiB, 81920 MiB, 0 %, 85.79 W, 45
2026/09/07 23:17:31.198, 28433 MiB, 81920 MiB, 61 %, 87.53 W, 50
2026/09/07 23:18:01.199, 28433 MiB, 81920 MiB, 33 %, 293.33 W, 54
2026/09/07 23:18:31.201, 28433 MiB, 81920 MiB, 0 %, 85.46 W, 45
2026/09/07 23:19:01.202, 28433 MiB, 81920 MiB, 25 %, 87.78 W, 48
2026/09/07 23:19:31.203, 28433 MiB, 81920 MiB, 0 %, 69.68 W, 44
2026/09/07 23:20:01.204, 28433 MiB, 81920 MiB, 61 %, 186.22 W, 50
2026/09/07 23:20:31.205, 28433 MiB, 81920 MiB, 98 %, 287.10 W, 55
2026/09/07 23:21:01.207, 28433 MiB, 81920 MiB, 61 %, 228.10 W, 53
2026/09/07 23:21:31.208, 28433 MiB, 81920 MiB, 0 %, 86.30 W, 46
2026/09/07 23:22:01.209, 28433 MiB, 81920 MiB, 64 %, 351.88 W, 51
2026/09/07 23:22:31.210, 28433 MiB, 81920 MiB, 15 %, 86.99 W, 47
2026/09/07 23:23:01.212, 28433 MiB, 81920 MiB, 8 %, 186.82 W, 50
2026/09/07 23:23:31.213, 28433 MiB, 81920 MiB, 0 %, 69.57 W, 45
2026/09/07 23:24:01.215, 28433 MiB, 81920 MiB, 0 %, 87.08 W, 47
2026/09/07 23:24:31.216, 28433 MiB, 81920 MiB, 38 %, 85.46 W, 46
2026/09/07 23:25:01.218, 28433 MiB, 81920 MiB, 12 %, 89.07 W, 46
2026/09/07 23:25:31.220, 28433 MiB, 81920 MiB, 1 %, 86.67 W, 47
2026/09/07 23:26:01.222, 28433 MiB, 81920 MiB, 68 %, 285.30 W, 53
2026/09/07 23:26:31.223, 28433 MiB, 81920 MiB, 39 %, 99.73 W, 46
2026/09/07 23:27:01.225, 28433 MiB, 81920 MiB, 17 %, 69.83 W, 44
2026/09/07 23:27:31.227, 28433 MiB, 81920 MiB, 36 %, 103.78 W, 50
2026/09/07 23:28:01.229, 28433 MiB, 81920 MiB, 61 %, 214.61 W, 53
2026/09/07 23:28:31.230, 28433 MiB, 81920 MiB, 77 %, 100.46 W, 50
2026/09/07 23:29:01.232, 28433 MiB, 81920 MiB, 84 %, 335.30 W, 54
2026/09/07 23:29:31.233, 28435 MiB, 81920 MiB, 0 %, 86.67 W, 46
2026/09/07 23:30:01.234, 28435 MiB, 81920 MiB, 0 %, 68.76 W, 42
2026/09/07 23:30:31.235, 28435 MiB, 81920 MiB, 0 %, 68.56 W, 41
2026/09/07 23:31:01.237, 28435 MiB, 81920 MiB, 0 %, 83.99 W, 42
2026/09/07 23:31:31.238, 28435 MiB, 81920 MiB, 80 %, 132.70 W, 51
2026/09/07 23:32:01.240, 28435 MiB, 81920 MiB, 5 %, 261.95 W, 46
2026/09/07 23:32:31.241, 28435 MiB, 81920 MiB, 67 %, 281.13 W, 48
2026/09/07 23:33:01.242, 28435 MiB, 81920 MiB, 38 %, 102.32 W, 44
2026/09/07 23:33:31.244, 28435 MiB, 81920 MiB, 17 %, 84.86 W, 45
2026/09/07 23:34:01.246, 28435 MiB, 81920 MiB, 25 %, 108.64 W, 50
2026/09/07 23:34:31.248, 28435 MiB, 81920 MiB, 1 %, 85.36 W, 45
2026/09/07 23:35:01.249, 28435 MiB, 81920 MiB, 0 %, 90.81 W, 45
2026/09/07 23:35:31.250, 28435 MiB, 81920 MiB, 0 %, 85.70 W, 45
2026/09/07 23:36:01.252, 28435 MiB, 81920 MiB, 68 %, 121.13 W, 48
2026/09/07 23:36:31.255, 28435 MiB, 81920 MiB, 24 %, 87.08 W, 46
2026/09/07 23:37:01.256, 28435 MiB, 81920 MiB, 3 %, 173.02 W, 51
2026/09/07 23:37:31.257, 28435 MiB, 81920 MiB, 85 %, 90.44 W, 50
2026/09/07 23:38:01.258, 28435 MiB, 81920 MiB, 2 %, 87.78 W, 47
2026/09/07 23:38:31.259, 28435 MiB, 81920 MiB, 0 %, 86.58 W, 46
2026/09/07 23:39:01.261, 28435 MiB, 81920 MiB, 69 %, 119.48 W, 48
2026/09/07 23:39:31.263, 28435 MiB, 81920 MiB, 31 %, 197.02 W, 49
2026/09/07 23:40:01.264, 28435 MiB, 81920 MiB, 14 %, 155.11 W, 49
2026/09/07 23:40:31.265, 28435 MiB, 81920 MiB, 50 %, 153.04 W, 48
2026/09/07 23:41:01.266, 28435 MiB, 81920 MiB, 58 %, 152.60 W, 51
2026/09/07 23:41:31.268, 28435 MiB, 81920 MiB, 0 %, 85.46 W, 46
2026/09/07 23:42:01.270, 28435 MiB, 81920 MiB, 65 %, 310.78 W, 51
2026/09/07 23:42:31.271, 28435 MiB, 81920 MiB, 80 %, 185.35 W, 51
2026/09/07 23:43:01.272, 28435 MiB, 81920 MiB, 25 %, 88.64 W, 48
2026/09/07 23:43:31.274, 28435 MiB, 81920 MiB, 0 %, 225.07 W, 46
2026/09/07 23:44:01.275, 28435 MiB, 81920 MiB, 68 %, 217.66 W, 51
2026/09/07 23:44:31.276, 28435 MiB, 81920 MiB, 75 %, 86.48 W, 47
2026/09/07 23:45:01.278, 28435 MiB, 81920 MiB, 42 %, 165.79 W, 48
2026/09/07 23:45:31.279, 28435 MiB, 81920 MiB, 99 %, 257.83 W, 50
2026/09/07 23:46:01.281, 28435 MiB, 81920 MiB, 7 %, 170.80 W, 50
2026/09/07 23:46:31.282, 28435 MiB, 81920 MiB, 72 %, 243.25 W, 50
2026/09/07 23:47:01.283, 28435 MiB, 81920 MiB, 57 %, 87.86 W, 48
2026/09/07 23:47:31.284, 28435 MiB, 81920 MiB, 46 %, 87.35 W, 46
2026/09/07 23:48:01.285, 28435 MiB, 81920 MiB, 82 %, 277.88 W, 53
2026/09/07 23:48:31.286, 28435 MiB, 81920 MiB, 86 %, 302.20 W, 50
2026/09/07 23:49:01.288, 28435 MiB, 81920 MiB, 0 %, 87.08 W, 47
2026/09/07 23:49:31.293, 28435 MiB, 81920 MiB, 34 %, 299.80 W, 52
2026/09/07 23:50:01.295, 28435 MiB, 81920 MiB, 80 %, 322.31 W, 52
2026/09/07 23:50:31.296, 28435 MiB, 81920 MiB, 72 %, 87.08 W, 47
2026/09/07 23:51:01.298, 28435 MiB, 81920 MiB, 54 %, 87.44 W, 47
2026/09/07 23:51:31.299, 28435 MiB, 81920 MiB, 38 %, 280.24 W, 50
2026/09/07 23:52:01.300, 28435 MiB, 81920 MiB, 79 %, 301.59 W, 52
2026/09/07 23:52:31.302, 28435 MiB, 81920 MiB, 12 %, 105.70 W, 50
2026/09/07 23:53:01.308, 28435 MiB, 81920 MiB, 76 %, 282.02 W, 50
2026/09/07 23:53:31.310, 28435 MiB, 81920 MiB, 28 %, 86.58 W, 47
2026/09/07 23:54:01.311, 28435 MiB, 81920 MiB, 0 %, 86.76 W, 46
2026/09/07 23:54:31.319, 28435 MiB, 81920 MiB, 51 %, 250.81 W, 49
2026/09/07 23:55:01.320, 28435 MiB, 81920 MiB, 27 %, 104.61 W, 53
2026/09/07 23:55:31.321, 28435 MiB, 81920 MiB, 5 %, 86.06 W, 47
2026/09/07 23:56:01.322, 28435 MiB, 81920 MiB, 34 %, 209.54 W, 50
2026/09/07 23:56:31.324, 28435 MiB, 81920 MiB, 22 %, 256.24 W, 50
2026/09/07 23:57:01.325, 28435 MiB, 81920 MiB, 52 %, 274.91 W, 50
2026/09/07 23:57:31.327, 28435 MiB, 81920 MiB, 72 %, 95.56 W, 52
2026/09/07 23:58:01.328, 28435 MiB, 81920 MiB, 56 %, 302.80 W, 51
2026/09/07 23:58:31.364, 28435 MiB, 81920 MiB, 0 %, 87.53 W, 47
2026/09/07 23:59:01.365, 28435 MiB, 81920 MiB, 42 %, 95.20 W, 48
2026/09/07 23:59:31.367, 28435 MiB, 81920 MiB, 31 %, 233.80 W, 51
2026/09/08 00:00:01.368, 28435 MiB, 81920 MiB, 0 %, 87.62 W, 47
2026/09/08 00:00:31.369, 28435 MiB, 81920 MiB, 38 %, 112.91 W, 52
2026/09/08 00:01:01.374, 28435 MiB, 81920 MiB, 0 %, 87.26 W, 47
2026/09/08 00:01:31.375, 28435 MiB, 81920 MiB, 34 %, 74.78 W, 45
2026/09/08 00:02:01.377, 28435 MiB, 81920 MiB, 79 %, 178.96 W, 49
2026/09/08 00:02:31.378, 28435 MiB, 81920 MiB, 23 %, 237.54 W, 49
2026/09/08 00:03:01.380, 28435 MiB, 81920 MiB, 74 %, 88.04 W, 49
2026/09/08 00:03:31.382, 28435 MiB, 81920 MiB, 59 %, 215.10 W, 51
2026/09/08 00:04:01.383, 28435 MiB, 81920 MiB, 0 %, 86.39 W, 47
2026/09/08 00:04:31.385, 28435 MiB, 81920 MiB, 55 %, 86.81 W, 47
2026/09/08 00:05:01.386, 28435 MiB, 81920 MiB, 6 %, 290.34 W, 53
2026/09/08 00:05:31.388, 28435 MiB, 81920 MiB, 54 %, 126.14 W, 48
2026/09/08 00:06:01.389, 28435 MiB, 81920 MiB, 95 %, 207.37 W, 52
2026/09/08 00:06:31.390, 28435 MiB, 81920 MiB, 4 %, 87.53 W, 47
