timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:21:00.879, 0 MiB, 81920 MiB, 0 %, 61.26 W, 34
2026/09/07 22:21:30.892, 4 MiB, 81920 MiB, 0 %, 61.41 W, 34
2026/09/07 22:22:00.892, 4913 MiB, 81920 MiB, 0 %, 68.02 W, 35
2026/09/07 22:22:30.894, 25711 MiB, 81920 MiB, 100 %, 151.36 W, 43
2026/09/07 22:23:00.896, 25711 MiB, 81920 MiB, 0 %, 90.62 W, 40
2026/09/07 22:23:30.897, 25711 MiB, 81920 MiB, 85 %, 147.25 W, 45
2026/09/07 22:24:00.898, 25711 MiB, 81920 MiB, 95 %, 135.68 W, 46
2026/09/07 22:24:30.899, 25711 MiB, 81920 MiB, 88 %, 291.19 W, 50
2026/09/07 22:25:00.900, 25711 MiB, 81920 MiB, 0 %, 207.48 W, 43
2026/09/07 22:25:30.901, 25711 MiB, 81920 MiB, 0 %, 88.10 W, 44
2026/09/07 22:26:00.901, 25711 MiB, 81920 MiB, 42 %, 101.29 W, 47
2026/09/07 22:26:30.903, 26607 MiB, 81920 MiB, 0 %, 88.78 W, 45
2026/09/07 22:27:00.904, 26607 MiB, 81920 MiB, 65 %, 127.30 W, 47
2026/09/07 22:27:30.906, 26607 MiB, 81920 MiB, 0 %, 88.18 W, 43
2026/09/07 22:28:00.907, 26607 MiB, 81920 MiB, 97 %, 167.43 W, 49
2026/09/07 22:28:30.908, 26607 MiB, 81920 MiB, 74 %, 92.40 W, 47
2026/09/07 22:29:00.909, 26607 MiB, 81920 MiB, 11 %, 96.15 W, 48
2026/09/07 22:29:30.910, 26607 MiB, 81920 MiB, 59 %, 300.57 W, 51
2026/09/07 22:30:00.913, 26607 MiB, 81920 MiB, 36 %, 133.66 W, 49
2026/09/07 22:30:30.915, 26607 MiB, 81920 MiB, 2 %, 90.94 W, 46
2026/09/07 22:31:00.919, 26607 MiB, 81920 MiB, 47 %, 90.34 W, 47
2026/09/07 22:31:30.921, 26607 MiB, 81920 MiB, 21 %, 247.55 W, 52
2026/09/07 22:32:00.922, 26607 MiB, 81920 MiB, 0 %, 89.38 W, 45
2026/09/07 22:32:30.924, 26607 MiB, 81920 MiB, 80 %, 92.22 W, 50
2026/09/07 22:33:00.925, 26607 MiB, 81920 MiB, 31 %, 110.85 W, 49
2026/09/07 22:33:30.927, 26607 MiB, 81920 MiB, 27 %, 277.92 W, 53
2026/09/07 22:34:00.928, 26607 MiB, 81920 MiB, 0 %, 89.29 W, 45
2026/09/07 22:34:30.929, 26607 MiB, 81920 MiB, 6 %, 228.43 W, 48
2026/09/07 22:35:00.930, 26607 MiB, 81920 MiB, 0 %, 89.57 W, 45
2026/09/07 22:35:30.932, 26607 MiB, 81920 MiB, 68 %, 92.82 W, 47
2026/09/07 22:36:00.933, 26607 MiB, 81920 MiB, 35 %, 119.91 W, 49
2026/09/07 22:36:30.935, 26607 MiB, 81920 MiB, 29 %, 88.87 W, 45
2026/09/07 22:37:00.936, 26607 MiB, 81920 MiB, 0 %, 89.57 W, 46
2026/09/07 22:37:30.937, 26607 MiB, 81920 MiB, 68 %, 286.18 W, 50
2026/09/07 22:38:00.939, 26607 MiB, 81920 MiB, 1 %, 92.05 W, 46
2026/09/07 22:38:30.940, 26607 MiB, 81920 MiB, 17 %, 89.75 W, 50
2026/09/07 22:39:00.941, 26607 MiB, 81920 MiB, 62 %, 111.84 W, 48
2026/09/07 22:39:30.942, 26607 MiB, 81920 MiB, 18 %, 89.24 W, 45
2026/09/07 22:40:00.944, 26607 MiB, 81920 MiB, 30 %, 190.56 W, 47
2026/09/07 22:40:30.944, 26607 MiB, 81920 MiB, 64 %, 114.14 W, 49
2026/09/07 22:41:00.946, 26607 MiB, 81920 MiB, 53 %, 140.26 W, 48
2026/09/07 22:41:30.947, 26607 MiB, 81920 MiB, 40 %, 90.12 W, 48
2026/09/07 22:42:00.948, 26607 MiB, 81920 MiB, 0 %, 89.52 W, 45
2026/09/07 22:42:30.950, 26607 MiB, 81920 MiB, 26 %, 293.91 W, 54
2026/09/07 22:43:00.951, 26607 MiB, 81920 MiB, 82 %, 295.97 W, 51
2026/09/07 22:43:30.952, 26607 MiB, 81920 MiB, 82 %, 157.89 W, 49
2026/09/07 22:44:00.955, 26607 MiB, 81920 MiB, 34 %, 146.91 W, 49
2026/09/07 22:44:30.956, 26607 MiB, 81920 MiB, 2 %, 90.76 W, 47
2026/09/07 22:45:00.960, 26607 MiB, 81920 MiB, 37 %, 100.21 W, 48
2026/09/07 22:45:30.962, 26607 MiB, 81920 MiB, 0 %, 89.97 W, 46
2026/09/07 22:46:00.964, 26607 MiB, 81920 MiB, 92 %, 119.93 W, 51
2026/09/07 22:46:30.965, 26607 MiB, 81920 MiB, 12 %, 184.39 W, 48
2026/09/07 22:47:00.966, 26607 MiB, 81920 MiB, 0 %, 257.03 W, 48
2026/09/07 22:47:30.967, 26607 MiB, 81920 MiB, 61 %, 152.36 W, 50
2026/09/07 22:48:00.968, 26607 MiB, 81920 MiB, 0 %, 91.53 W, 47
2026/09/07 22:48:30.970, 26607 MiB, 81920 MiB, 53 %, 330.22 W, 53
2026/09/07 22:49:00.971, 26607 MiB, 81920 MiB, 0 %, 146.94 W, 47
2026/09/07 22:49:30.973, 26607 MiB, 81920 MiB, 88 %, 110.89 W, 53
2026/09/07 22:50:00.975, 26607 MiB, 81920 MiB, 76 %, 293.55 W, 55
2026/09/07 22:50:30.975, 26607 MiB, 81920 MiB, 45 %, 92.13 W, 49
2026/09/07 22:51:00.977, 26607 MiB, 81920 MiB, 16 %, 103.25 W, 49
2026/09/07 22:51:30.978, 26607 MiB, 81920 MiB, 67 %, 129.21 W, 49
2026/09/07 22:52:00.979, 26607 MiB, 81920 MiB, 54 %, 92.13 W, 49
2026/09/07 22:52:30.981, 28335 MiB, 81920 MiB, 23 %, 180.36 W, 47
2026/09/07 22:53:00.983, 28335 MiB, 81920 MiB, 38 %, 287.35 W, 54
2026/09/07 22:53:30.984, 28335 MiB, 81920 MiB, 88 %, 292.38 W, 54
2026/09/07 22:54:00.986, 28335 MiB, 81920 MiB, 86 %, 164.44 W, 53
2026/09/07 22:54:30.987, 28335 MiB, 81920 MiB, 0 %, 89.97 W, 46
2026/09/07 22:55:00.988, 28335 MiB, 81920 MiB, 46 %, 242.75 W, 49
2026/09/07 22:55:30.990, 28335 MiB, 81920 MiB, 31 %, 132.55 W, 48
2026/09/07 22:56:00.991, 28335 MiB, 81920 MiB, 0 %, 71.61 W, 44
2026/09/07 22:56:30.993, 28335 MiB, 81920 MiB, 82 %, 278.19 W, 53
2026/09/07 22:57:00.995, 28335 MiB, 81920 MiB, 0 %, 89.47 W, 45
2026/09/07 22:57:30.996, 28335 MiB, 81920 MiB, 20 %, 92.59 W, 46
2026/09/07 22:58:00.997, 28335 MiB, 81920 MiB, 29 %, 89.75 W, 46
2026/09/07 22:58:31.000, 28335 MiB, 81920 MiB, 73 %, 274.66 W, 50
2026/09/07 22:59:01.001, 28335 MiB, 81920 MiB, 88 %, 99.34 W, 50
2026/09/07 22:59:31.002, 28335 MiB, 81920 MiB, 0 %, 71.46 W, 44
2026/09/07 23:00:01.004, 28335 MiB, 81920 MiB, 2 %, 100.97 W, 44
2026/09/07 23:00:31.005, 28335 MiB, 81920 MiB, 0 %, 71.58 W, 44
2026/09/07 23:01:01.006, 28335 MiB, 81920 MiB, 27 %, 133.06 W, 47
2026/09/07 23:01:31.007, 28335 MiB, 81920 MiB, 68 %, 226.02 W, 49
2026/09/07 23:02:01.009, 28335 MiB, 81920 MiB, 25 %, 278.80 W, 55
2026/09/07 23:02:31.010, 28337 MiB, 81920 MiB, 0 %, 89.38 W, 45
2026/09/07 23:03:01.011, 28337 MiB, 81920 MiB, 72 %, 187.32 W, 52
2026/09/07 23:03:31.012, 28337 MiB, 81920 MiB, 55 %, 150.30 W, 48
2026/09/07 23:04:01.013, 28337 MiB, 81920 MiB, 96 %, 126.96 W, 51
2026/09/07 23:04:31.015, 28337 MiB, 81920 MiB, 69 %, 272.93 W, 52
2026/09/07 23:05:01.016, 28337 MiB, 81920 MiB, 0 %, 89.65 W, 45
2026/09/07 23:05:31.017, 28337 MiB, 81920 MiB, 32 %, 136.59 W, 49
2026/09/07 23:06:01.019, 28337 MiB, 81920 MiB, 17 %, 91.34 W, 46
2026/09/07 23:06:31.020, 28337 MiB, 81920 MiB, 0 %, 89.74 W, 46
2026/09/07 23:07:01.022, 28337 MiB, 81920 MiB, 2 %, 90.34 W, 46
2026/09/07 23:07:31.024, 28337 MiB, 81920 MiB, 0 %, 89.10 W, 45
2026/09/07 23:08:01.026, 28337 MiB, 81920 MiB, 31 %, 189.38 W, 47
2026/09/07 23:08:31.028, 28337 MiB, 81920 MiB, 92 %, 258.76 W, 50
2026/09/07 23:09:01.029, 28337 MiB, 81920 MiB, 42 %, 194.49 W, 52
2026/09/07 23:09:31.031, 28337 MiB, 81920 MiB, 57 %, 90.15 W, 46
2026/09/07 23:10:01.032, 28337 MiB, 81920 MiB, 86 %, 294.40 W, 53
2026/09/07 23:10:31.033, 28337 MiB, 81920 MiB, 100 %, 95.19 W, 48
2026/09/07 23:11:01.036, 28337 MiB, 81920 MiB, 2 %, 89.74 W, 45
2026/09/07 23:11:31.038, 28337 MiB, 81920 MiB, 42 %, 181.74 W, 47
2026/09/07 23:12:01.039, 28337 MiB, 81920 MiB, 0 %, 88.78 W, 45
2026/09/07 23:12:31.041, 28337 MiB, 81920 MiB, 41 %, 287.07 W, 53
2026/09/07 23:13:01.042, 28337 MiB, 81920 MiB, 92 %, 104.12 W, 47
2026/09/07 23:13:31.043, 28337 MiB, 81920 MiB, 58 %, 89.56 W, 45
2026/09/07 23:14:01.047, 28337 MiB, 81920 MiB, 0 %, 90.07 W, 47
2026/09/07 23:14:31.052, 28337 MiB, 81920 MiB, 64 %, 181.28 W, 49
2026/09/07 23:15:01.054, 28337 MiB, 81920 MiB, 18 %, 302.71 W, 52
2026/09/07 23:15:31.055, 28337 MiB, 81920 MiB, 0 %, 82.60 W, 43
2026/09/07 23:16:01.057, 28337 MiB, 81920 MiB, 77 %, 136.13 W, 53
2026/09/07 23:16:31.058, 28337 MiB, 81920 MiB, 86 %, 221.58 W, 52
2026/09/07 23:17:01.060, 28337 MiB, 81920 MiB, 52 %, 215.02 W, 49
2026/09/07 23:17:31.061, 28337 MiB, 81920 MiB, 89 %, 145.72 W, 50
2026/09/07 23:18:01.062, 28337 MiB, 81920 MiB, 63 %, 286.75 W, 52
2026/09/07 23:18:31.063, 28337 MiB, 81920 MiB, 99 %, 302.67 W, 53
2026/09/07 23:19:01.064, 28337 MiB, 81920 MiB, 80 %, 299.07 W, 56
2026/09/07 23:19:31.066, 28337 MiB, 81920 MiB, 0 %, 295.34 W, 52
2026/09/07 23:20:01.067, 28337 MiB, 81920 MiB, 60 %, 90.24 W, 47
2026/09/07 23:20:31.068, 28337 MiB, 81920 MiB, 0 %, 89.65 W, 45
2026/09/07 23:21:01.070, 28337 MiB, 81920 MiB, 63 %, 294.15 W, 51
2026/09/07 23:21:31.070, 28337 MiB, 81920 MiB, 0 %, 150.73 W, 49
2026/09/07 23:22:01.072, 28337 MiB, 81920 MiB, 93 %, 288.83 W, 53
2026/09/07 23:22:31.077, 28337 MiB, 81920 MiB, 0 %, 89.10 W, 45
2026/09/07 23:23:01.079, 28337 MiB, 81920 MiB, 95 %, 215.93 W, 53
2026/09/07 23:23:31.080, 28337 MiB, 81920 MiB, 36 %, 135.07 W, 50
2026/09/07 23:24:01.082, 28337 MiB, 81920 MiB, 51 %, 90.86 W, 47
2026/09/07 23:24:31.084, 28337 MiB, 81920 MiB, 4 %, 91.26 W, 47
2026/09/07 23:25:01.085, 28337 MiB, 81920 MiB, 0 %, 71.65 W, 45
2026/09/07 23:25:31.087, 28337 MiB, 81920 MiB, 57 %, 106.29 W, 49
2026/09/07 23:26:01.089, 28337 MiB, 81920 MiB, 100 %, 179.45 W, 48
2026/09/07 23:26:31.090, 28337 MiB, 81920 MiB, 0 %, 71.15 W, 43
2026/09/07 23:27:01.092, 28337 MiB, 81920 MiB, 44 %, 91.45 W, 47
2026/09/07 23:27:31.093, 28339 MiB, 81920 MiB, 0 %, 70.66 W, 42
2026/09/07 23:28:01.094, 28339 MiB, 81920 MiB, 0 %, 70.00 W, 41
2026/09/07 23:28:31.095, 28339 MiB, 81920 MiB, 0 %, 69.66 W, 40
2026/09/07 23:29:01.096, 28339 MiB, 81920 MiB, 83 %, 134.93 W, 51
2026/09/07 23:29:31.098, 28339 MiB, 81920 MiB, 69 %, 257.29 W, 48
2026/09/07 23:30:01.099, 28339 MiB, 81920 MiB, 69 %, 128.76 W, 46
2026/09/07 23:30:31.101, 28339 MiB, 81920 MiB, 79 %, 198.54 W, 51
2026/09/07 23:31:01.102, 28339 MiB, 81920 MiB, 64 %, 90.24 W, 46
2026/09/07 23:31:31.103, 28339 MiB, 81920 MiB, 80 %, 100.17 W, 48
2026/09/07 23:32:01.105, 28339 MiB, 81920 MiB, 83 %, 269.09 W, 46
2026/09/07 23:32:31.106, 28339 MiB, 81920 MiB, 49 %, 230.17 W, 49
2026/09/07 23:33:01.110, 28339 MiB, 81920 MiB, 0 %, 88.78 W, 44
2026/09/07 23:33:31.112, 28339 MiB, 81920 MiB, 86 %, 174.78 W, 51
2026/09/07 23:34:01.113, 28339 MiB, 81920 MiB, 79 %, 116.54 W, 50
2026/09/07 23:34:31.116, 28339 MiB, 81920 MiB, 0 %, 88.97 W, 44
2026/09/07 23:35:01.117, 28339 MiB, 81920 MiB, 37 %, 269.38 W, 53
2026/09/07 23:35:31.120, 28339 MiB, 81920 MiB, 49 %, 90.07 W, 46
2026/09/07 23:36:01.121, 28339 MiB, 81920 MiB, 76 %, 92.90 W, 47
