timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:16:30.512, 0 MiB, 81920 MiB, 0 %, 59.83 W, 34
2026/09/07 22:17:00.522, 467 MiB, 81920 MiB, 0 %, 66.43 W, 34
2026/09/07 22:17:30.524, 25549 MiB, 81920 MiB, 86 %, 283.15 W, 42
2026/09/07 22:18:00.525, 25551 MiB, 81920 MiB, 90 %, 259.83 W, 47
2026/09/07 22:18:30.526, 25647 MiB, 81920 MiB, 83 %, 85.98 W, 47
2026/09/07 22:19:00.528, 25647 MiB, 81920 MiB, 91 %, 301.39 W, 48
2026/09/07 22:19:30.530, 25647 MiB, 81920 MiB, 77 %, 84.77 W, 43
2026/09/07 22:20:00.531, 25647 MiB, 81920 MiB, 81 %, 294.53 W, 49
2026/09/07 22:20:30.533, 25647 MiB, 81920 MiB, 96 %, 147.41 W, 48
2026/09/07 22:21:00.534, 26639 MiB, 81920 MiB, 64 %, 103.17 W, 45
2026/09/07 22:21:30.535, 26639 MiB, 81920 MiB, 91 %, 199.60 W, 49
2026/09/07 22:22:00.565, 27055 MiB, 81920 MiB, 64 %, 261.72 W, 46
2026/09/07 22:22:30.567, 27055 MiB, 81920 MiB, 43 %, 229.52 W, 45
2026/09/07 22:23:00.569, 27055 MiB, 81920 MiB, 92 %, 290.06 W, 51
2026/09/07 22:23:30.570, 27055 MiB, 81920 MiB, 70 %, 85.04 W, 43
2026/09/07 22:24:00.572, 27055 MiB, 81920 MiB, 53 %, 85.97 W, 45
2026/09/07 22:24:30.573, 27055 MiB, 81920 MiB, 54 %, 175.45 W, 45
2026/09/07 22:25:00.574, 27055 MiB, 81920 MiB, 72 %, 293.33 W, 50
2026/09/07 22:25:30.575, 27055 MiB, 81920 MiB, 100 %, 287.09 W, 46
2026/09/07 22:26:00.576, 27055 MiB, 81920 MiB, 24 %, 84.95 W, 42
2026/09/07 22:26:30.578, 27055 MiB, 81920 MiB, 90 %, 288.84 W, 48
2026/09/07 22:27:00.580, 27055 MiB, 81920 MiB, 70 %, 198.91 W, 46
2026/09/07 22:27:30.580, 27055 MiB, 81920 MiB, 78 %, 258.64 W, 50
2026/09/07 22:28:00.583, 27055 MiB, 81920 MiB, 12 %, 162.20 W, 44
2026/09/07 22:28:30.584, 27055 MiB, 81920 MiB, 59 %, 84.78 W, 43
2026/09/07 22:29:00.585, 27055 MiB, 81920 MiB, 65 %, 86.39 W, 42
2026/09/07 22:29:30.587, 27055 MiB, 81920 MiB, 90 %, 272.84 W, 45
2026/09/07 22:30:00.588, 27055 MiB, 81920 MiB, 70 %, 122.48 W, 46
2026/09/07 22:30:30.591, 27055 MiB, 81920 MiB, 0 %, 68.63 W, 40
2026/09/07 22:31:00.593, 27055 MiB, 81920 MiB, 2 %, 102.21 W, 42
2026/09/07 22:31:30.594, 27055 MiB, 81920 MiB, 83 %, 127.49 W, 48
2026/09/07 22:32:00.595, 27055 MiB, 81920 MiB, 1 %, 236.43 W, 42
2026/09/07 22:32:30.596, 27055 MiB, 81920 MiB, 74 %, 203.92 W, 47
2026/09/07 22:33:00.597, 27055 MiB, 81920 MiB, 14 %, 84.95 W, 43
2026/09/07 22:33:30.598, 27055 MiB, 81920 MiB, 0 %, 84.08 W, 41
2026/09/07 22:34:00.600, 27055 MiB, 81920 MiB, 0 %, 84.08 W, 41
2026/09/07 22:34:30.602, 27055 MiB, 81920 MiB, 100 %, 120.33 W, 45
2026/09/07 22:35:00.603, 27055 MiB, 81920 MiB, 75 %, 126.61 W, 44
2026/09/07 22:35:30.605, 27055 MiB, 81920 MiB, 33 %, 270.69 W, 44
2026/09/07 22:36:00.606, 27055 MiB, 81920 MiB, 3 %, 85.36 W, 46
2026/09/07 22:36:30.607, 27055 MiB, 81920 MiB, 38 %, 177.44 W, 44
2026/09/07 22:37:00.608, 27055 MiB, 81920 MiB, 0 %, 90.72 W, 42
2026/09/07 22:37:30.610, 27055 MiB, 81920 MiB, 33 %, 68.02 W, 41
2026/09/07 22:38:00.611, 27055 MiB, 81920 MiB, 100 %, 139.07 W, 49
2026/09/07 22:38:30.615, 27055 MiB, 81920 MiB, 2 %, 84.34 W, 42
2026/09/07 22:39:00.617, 27055 MiB, 81920 MiB, 69 %, 298.69 W, 49
2026/09/07 22:39:30.619, 27055 MiB, 81920 MiB, 26 %, 85.30 W, 42
2026/09/07 22:40:00.620, 27055 MiB, 81920 MiB, 73 %, 284.70 W, 47
2026/09/07 22:40:30.622, 27055 MiB, 81920 MiB, 83 %, 269.22 W, 50
2026/09/07 22:41:00.624, 27055 MiB, 81920 MiB, 51 %, 87.01 W, 45
2026/09/07 22:41:30.625, 27055 MiB, 81920 MiB, 29 %, 180.11 W, 48
2026/09/07 22:42:00.629, 27055 MiB, 81920 MiB, 14 %, 84.68 W, 42
2026/09/07 22:42:30.630, 27055 MiB, 81920 MiB, 1 %, 105.53 W, 45
2026/09/07 22:43:00.631, 27055 MiB, 81920 MiB, 72 %, 288.87 W, 49
2026/09/07 22:43:30.632, 27055 MiB, 81920 MiB, 8 %, 84.94 W, 43
2026/09/07 22:44:00.634, 27055 MiB, 81920 MiB, 20 %, 85.36 W, 43
2026/09/07 22:44:30.640, 27055 MiB, 81920 MiB, 0 %, 257.30 W, 47
2026/09/07 22:45:00.642, 27055 MiB, 81920 MiB, 0 %, 85.04 W, 42
2026/09/07 22:45:30.643, 27055 MiB, 81920 MiB, 51 %, 150.20 W, 50
2026/09/07 22:46:00.644, 27631 MiB, 81920 MiB, 78 %, 111.31 W, 45
2026/09/07 22:46:30.646, 27631 MiB, 81920 MiB, 0 %, 85.88 W, 43
2026/09/07 22:47:00.652, 27631 MiB, 81920 MiB, 0 %, 69.43 W, 41
2026/09/07 22:47:30.653, 27631 MiB, 81920 MiB, 32 %, 216.38 W, 45
2026/09/07 22:48:00.655, 27631 MiB, 81920 MiB, 41 %, 86.15 W, 43
2026/09/07 22:48:30.657, 27631 MiB, 81920 MiB, 0 %, 83.99 W, 41
2026/09/07 22:49:00.658, 27919 MiB, 81920 MiB, 82 %, 89.33 W, 44
2026/09/07 22:49:30.659, 27919 MiB, 81920 MiB, 99 %, 268.11 W, 49
2026/09/07 22:50:00.660, 27919 MiB, 81920 MiB, 52 %, 169.76 W, 46
2026/09/07 22:50:30.662, 27919 MiB, 81920 MiB, 51 %, 112.91 W, 44
2026/09/07 22:51:00.662, 27983 MiB, 81920 MiB, 55 %, 111.58 W, 43
2026/09/07 22:51:30.664, 27983 MiB, 81920 MiB, 56 %, 151.83 W, 45
2026/09/07 22:52:00.665, 27983 MiB, 81920 MiB, 67 %, 99.25 W, 44
2026/09/07 22:52:30.667, 27983 MiB, 81920 MiB, 59 %, 127.35 W, 45
2026/09/07 22:53:00.669, 27983 MiB, 81920 MiB, 90 %, 237.27 W, 47
2026/09/07 22:53:30.670, 27983 MiB, 81920 MiB, 71 %, 289.74 W, 49
2026/09/07 22:54:00.672, 27983 MiB, 81920 MiB, 33 %, 114.86 W, 43
2026/09/07 22:54:30.674, 27983 MiB, 81920 MiB, 0 %, 84.68 W, 42
2026/09/07 22:55:00.675, 27983 MiB, 81920 MiB, 49 %, 227.33 W, 44
2026/09/07 22:55:30.676, 27983 MiB, 81920 MiB, 61 %, 288.26 W, 46
2026/09/07 22:56:00.677, 27983 MiB, 81920 MiB, 87 %, 292.74 W, 47
2026/09/07 22:56:30.679, 27983 MiB, 81920 MiB, 38 %, 150.67 W, 44
2026/09/07 22:57:00.681, 27983 MiB, 81920 MiB, 0 %, 68.36 W, 40
2026/09/07 22:57:30.682, 27983 MiB, 81920 MiB, 53 %, 89.85 W, 46
2026/09/07 22:58:00.684, 27983 MiB, 81920 MiB, 94 %, 264.19 W, 44
2026/09/07 22:58:30.685, 27983 MiB, 81920 MiB, 71 %, 292.74 W, 47
2026/09/07 22:59:00.686, 27983 MiB, 81920 MiB, 0 %, 68.63 W, 40
2026/09/07 22:59:30.687, 27983 MiB, 81920 MiB, 39 %, 87.96 W, 42
2026/09/07 23:00:00.695, 27983 MiB, 81920 MiB, 16 %, 289.14 W, 47
2026/09/07 23:00:30.697, 27983 MiB, 81920 MiB, 76 %, 297.44 W, 47
2026/09/07 23:01:00.698, 27983 MiB, 81920 MiB, 21 %, 84.86 W, 42
2026/09/07 23:01:30.700, 27983 MiB, 81920 MiB, 65 %, 86.15 W, 45
2026/09/07 23:02:00.701, 27983 MiB, 81920 MiB, 43 %, 116.06 W, 44
2026/09/07 23:02:30.703, 27983 MiB, 81920 MiB, 64 %, 147.37 W, 44
2026/09/07 23:03:00.704, 27983 MiB, 81920 MiB, 17 %, 107.77 W, 44
2026/09/07 23:03:30.706, 27983 MiB, 81920 MiB, 0 %, 84.78 W, 43
2026/09/07 23:04:00.707, 27983 MiB, 81920 MiB, 88 %, 277.86 W, 47
2026/09/07 23:04:30.709, 27983 MiB, 81920 MiB, 61 %, 84.59 W, 42
2026/09/07 23:05:00.710, 27983 MiB, 81920 MiB, 35 %, 90.30 W, 43
2026/09/07 23:05:30.712, 27983 MiB, 81920 MiB, 6 %, 238.12 W, 44
2026/09/07 23:06:00.713, 27983 MiB, 81920 MiB, 10 %, 178.73 W, 46
2026/09/07 23:06:30.715, 27983 MiB, 81920 MiB, 30 %, 84.86 W, 44
2026/09/07 23:07:00.716, 27983 MiB, 81920 MiB, 75 %, 297.17 W, 50
2026/09/07 23:07:30.717, 27983 MiB, 81920 MiB, 33 %, 122.28 W, 47
2026/09/07 23:08:00.718, 27983 MiB, 81920 MiB, 91 %, 85.55 W, 44
2026/09/07 23:08:30.719, 27983 MiB, 81920 MiB, 0 %, 84.68 W, 42
2026/09/07 23:09:00.721, 27983 MiB, 81920 MiB, 2 %, 87.53 W, 41
2026/09/07 23:09:30.722, 27983 MiB, 81920 MiB, 55 %, 106.94 W, 43
2026/09/07 23:10:00.724, 27983 MiB, 81920 MiB, 83 %, 237.88 W, 45
2026/09/07 23:10:30.727, 27983 MiB, 81920 MiB, 66 %, 294.20 W, 46
2026/09/07 23:11:00.729, 27983 MiB, 81920 MiB, 12 %, 84.32 W, 42
2026/09/07 23:11:30.730, 27983 MiB, 81920 MiB, 59 %, 84.59 W, 43
2026/09/07 23:12:00.731, 27983 MiB, 81920 MiB, 69 %, 84.40 W, 42
2026/09/07 23:12:30.732, 27983 MiB, 81920 MiB, 0 %, 84.23 W, 41
2026/09/07 23:13:00.733, 27983 MiB, 81920 MiB, 3 %, 84.32 W, 43
2026/09/07 23:13:30.737, 27983 MiB, 81920 MiB, 0 %, 84.23 W, 41
2026/09/07 23:14:00.738, 27983 MiB, 81920 MiB, 38 %, 85.55 W, 44
2026/09/07 23:14:30.740, 27983 MiB, 81920 MiB, 50 %, 121.26 W, 44
2026/09/07 23:15:00.742, 27983 MiB, 81920 MiB, 88 %, 102.91 W, 46
2026/09/07 23:15:30.746, 27983 MiB, 81920 MiB, 0 %, 84.59 W, 42
2026/09/07 23:16:00.747, 27983 MiB, 81920 MiB, 18 %, 289.74 W, 49
2026/09/07 23:16:30.748, 27983 MiB, 81920 MiB, 0 %, 84.08 W, 42
2026/09/07 23:17:00.749, 27983 MiB, 81920 MiB, 0 %, 84.86 W, 41
2026/09/07 23:17:30.751, 27983 MiB, 81920 MiB, 1 %, 129.69 W, 46
2026/09/07 23:18:00.753, 27983 MiB, 81920 MiB, 0 %, 84.68 W, 41
2026/09/07 23:18:30.754, 27983 MiB, 81920 MiB, 87 %, 317.36 W, 47
2026/09/07 23:19:00.756, 27983 MiB, 81920 MiB, 69 %, 139.10 W, 44
2026/09/07 23:19:30.757, 27983 MiB, 81920 MiB, 31 %, 85.28 W, 42
2026/09/07 23:20:00.761, 27983 MiB, 81920 MiB, 100 %, 351.61 W, 49
2026/09/07 23:20:30.763, 27983 MiB, 81920 MiB, 0 %, 84.78 W, 41
2026/09/07 23:21:00.766, 27983 MiB, 81920 MiB, 56 %, 120.08 W, 44
2026/09/07 23:21:30.768, 27985 MiB, 81920 MiB, 0 %, 68.29 W, 39
2026/09/07 23:22:00.769, 27985 MiB, 81920 MiB, 0 %, 67.68 W, 37
2026/09/07 23:22:30.771, 27985 MiB, 81920 MiB, 0 %, 67.36 W, 36
2026/09/07 23:23:00.772, 27985 MiB, 81920 MiB, 97 %, 111.70 W, 42
2026/09/07 23:23:30.774, 27985 MiB, 81920 MiB, 0 %, 68.70 W, 39
2026/09/07 23:24:00.775, 27985 MiB, 81920 MiB, 37 %, 83.81 W, 41
2026/09/07 23:24:30.776, 27985 MiB, 81920 MiB, 9 %, 136.98 W, 44
2026/09/07 23:25:00.778, 27985 MiB, 81920 MiB, 0 %, 83.99 W, 41
2026/09/07 23:25:30.779, 27985 MiB, 81920 MiB, 0 %, 83.72 W, 41
2026/09/07 23:26:00.781, 27985 MiB, 81920 MiB, 81 %, 246.32 W, 45
2026/09/07 23:26:30.783, 27985 MiB, 81920 MiB, 76 %, 242.66 W, 47
2026/09/07 23:27:00.784, 27985 MiB, 81920 MiB, 100 %, 287.09 W, 47
2026/09/07 23:27:30.785, 27985 MiB, 81920 MiB, 0 %, 128.68 W, 43
2026/09/07 23:28:00.786, 27985 MiB, 81920 MiB, 25 %, 84.77 W, 42
2026/09/07 23:28:30.788, 27985 MiB, 81920 MiB, 3 %, 224.39 W, 42
2026/09/07 23:29:00.790, 27985 MiB, 81920 MiB, 0 %, 84.59 W, 42
2026/09/07 23:29:30.792, 27985 MiB, 81920 MiB, 22 %, 95.01 W, 43
2026/09/07 23:30:00.794, 27985 MiB, 81920 MiB, 39 %, 123.35 W, 45
2026/09/07 23:30:30.795, 27985 MiB, 81920 MiB, 59 %, 116.78 W, 46
2026/09/07 23:31:00.797, 27985 MiB, 81920 MiB, 92 %, 291.21 W, 49
2026/09/07 23:31:30.798, 27985 MiB, 81920 MiB, 50 %, 182.08 W, 45
2026/09/07 23:32:00.799, 27985 MiB, 81920 MiB, 0 %, 85.10 W, 42
2026/09/07 23:32:30.800, 27985 MiB, 81920 MiB, 45 %, 96.38 W, 42
2026/09/07 23:33:00.801, 27985 MiB, 81920 MiB, 89 %, 293.58 W, 48
2026/09/07 23:33:30.802, 27985 MiB, 81920 MiB, 0 %, 84.59 W, 42
2026/09/07 23:34:00.804, 27985 MiB, 81920 MiB, 3 %, 133.90 W, 43
2026/09/07 23:34:30.805, 27985 MiB, 81920 MiB, 30 %, 92.53 W, 46
2026/09/07 23:35:00.806, 27985 MiB, 81920 MiB, 73 %, 84.95 W, 43
2026/09/07 23:35:30.808, 27985 MiB, 81920 MiB, 38 %, 92.00 W, 43
2026/09/07 23:36:00.809, 27985 MiB, 81920 MiB, 44 %, 169.96 W, 44
2026/09/07 23:36:30.810, 27985 MiB, 81920 MiB, 0 %, 93.31 W, 42
2026/09/07 23:37:00.813, 27985 MiB, 81920 MiB, 2 %, 84.08 W, 41
2026/09/07 23:37:30.815, 27985 MiB, 81920 MiB, 91 %, 273.45 W, 49
2026/09/07 23:38:00.816, 27985 MiB, 81920 MiB, 32 %, 172.43 W, 44
2026/09/07 23:38:30.818, 27985 MiB, 81920 MiB, 72 %, 87.08 W, 45
2026/09/07 23:39:00.822, 27985 MiB, 81920 MiB, 86 %, 137.02 W, 47
2026/09/07 23:39:30.823, 27985 MiB, 81920 MiB, 27 %, 84.59 W, 42
2026/09/07 23:40:00.824, 27985 MiB, 81920 MiB, 0 %, 84.32 W, 42
2026/09/07 23:40:30.825, 27985 MiB, 81920 MiB, 59 %, 291.83 W, 48
2026/09/07 23:41:00.834, 27985 MiB, 81920 MiB, 33 %, 85.55 W, 45
2026/09/07 23:41:30.837, 27985 MiB, 81920 MiB, 12 %, 84.77 W, 42
2026/09/07 23:42:00.838, 27985 MiB, 81920 MiB, 74 %, 85.46 W, 42
2026/09/07 23:42:30.839, 27985 MiB, 81920 MiB, 21 %, 85.10 W, 42
2026/09/07 23:43:00.840, 27985 MiB, 81920 MiB, 42 %, 99.65 W, 43
2026/09/07 23:43:30.841, 27985 MiB, 81920 MiB, 100 %, 207.80 W, 45
2026/09/07 23:44:00.843, 27985 MiB, 81920 MiB, 65 %, 277.61 W, 47
2026/09/07 23:44:30.844, 27985 MiB, 81920 MiB, 80 %, 86.39 W, 47
2026/09/07 23:45:00.846, 27985 MiB, 81920 MiB, 0 %, 84.86 W, 42
2026/09/07 23:45:30.847, 27985 MiB, 81920 MiB, 55 %, 285.01 W, 47
2026/09/07 23:46:00.848, 27985 MiB, 81920 MiB, 99 %, 250.55 W, 49
2026/09/07 23:46:30.850, 27985 MiB, 81920 MiB, 0 %, 87.26 W, 47
2026/09/07 23:47:00.851, 27985 MiB, 81920 MiB, 0 %, 84.68 W, 42
2026/09/07 23:47:30.853, 27985 MiB, 81920 MiB, 9 %, 85.36 W, 45
2026/09/07 23:48:00.855, 27985 MiB, 81920 MiB, 83 %, 151.23 W, 45
2026/09/07 23:48:30.856, 27985 MiB, 81920 MiB, 48 %, 276.68 W, 50
2026/09/07 23:49:00.857, 27985 MiB, 81920 MiB, 48 %, 232.57 W, 45
2026/09/07 23:49:30.859, 27985 MiB, 81920 MiB, 70 %, 86.48 W, 44
2026/09/07 23:50:00.861, 27985 MiB, 81920 MiB, 66 %, 107.44 W, 44
2026/09/07 23:50:30.862, 27985 MiB, 81920 MiB, 19 %, 84.42 W, 42
2026/09/07 23:51:00.865, 27985 MiB, 81920 MiB, 0 %, 85.88 W, 42
2026/09/07 23:51:30.866, 27985 MiB, 81920 MiB, 88 %, 89.66 W, 45
2026/09/07 23:52:00.868, 27985 MiB, 81920 MiB, 70 %, 101.00 W, 44
2026/09/07 23:52:30.870, 27985 MiB, 81920 MiB, 30 %, 261.30 W, 45
2026/09/07 23:53:00.871, 27985 MiB, 81920 MiB, 94 %, 264.79 W, 48
2026/09/07 23:53:30.872, 27985 MiB, 81920 MiB, 33 %, 149.60 W, 45
2026/09/07 23:54:00.873, 27985 MiB, 81920 MiB, 83 %, 100.34 W, 47
2026/09/07 23:54:30.874, 27985 MiB, 81920 MiB, 0 %, 83.81 W, 41
2026/09/07 23:55:00.875, 27985 MiB, 81920 MiB, 30 %, 140.40 W, 45
2026/09/07 23:55:30.877, 27985 MiB, 81920 MiB, 61 %, 87.17 W, 43
2026/09/07 23:56:00.878, 27985 MiB, 81920 MiB, 44 %, 84.86 W, 43
2026/09/07 23:56:30.879, 27985 MiB, 81920 MiB, 0 %, 68.90 W, 41
2026/09/07 23:57:00.880, 27985 MiB, 81920 MiB, 30 %, 84.95 W, 41
2026/09/07 23:57:30.882, 27985 MiB, 81920 MiB, 0 %, 85.28 W, 41
2026/09/07 23:58:00.885, 27985 MiB, 81920 MiB, 42 %, 91.09 W, 43
2026/09/07 23:58:30.887, 27985 MiB, 81920 MiB, 0 %, 84.86 W, 41
2026/09/07 23:59:00.888, 27985 MiB, 81920 MiB, 36 %, 139.67 W, 44
2026/09/07 23:59:30.890, 27985 MiB, 81920 MiB, 0 %, 84.07 W, 41
2026/09/08 00:00:00.891, 27985 MiB, 81920 MiB, 78 %, 108.98 W, 45
2026/09/08 00:00:30.893, 27985 MiB, 81920 MiB, 67 %, 212.15 W, 47
2026/09/08 00:01:00.894, 27985 MiB, 81920 MiB, 65 %, 192.83 W, 47
2026/09/08 00:01:30.896, 27985 MiB, 81920 MiB, 53 %, 291.84 W, 48
2026/09/08 00:02:00.897, 27985 MiB, 81920 MiB, 90 %, 85.70 W, 44
2026/09/08 00:02:30.899, 27985 MiB, 81920 MiB, 71 %, 95.28 W, 42
2026/09/08 00:03:00.900, 27985 MiB, 81920 MiB, 0 %, 68.56 W, 40
2026/09/08 00:03:30.901, 27985 MiB, 81920 MiB, 91 %, 322.04 W, 49
2026/09/08 00:04:00.903, 27985 MiB, 81920 MiB, 90 %, 126.75 W, 48
2026/09/08 00:04:30.904, 27985 MiB, 81920 MiB, 0 %, 84.78 W, 42
2026/09/08 00:05:00.907, 27985 MiB, 81920 MiB, 53 %, 165.10 W, 43
2026/09/08 00:05:30.917, 27985 MiB, 81920 MiB, 47 %, 89.61 W, 44
2026/09/08 00:06:00.918, 27985 MiB, 81920 MiB, 40 %, 85.88 W, 45
2026/09/08 00:06:30.920, 27985 MiB, 81920 MiB, 55 %, 117.53 W, 44
2026/09/08 00:07:00.926, 27985 MiB, 81920 MiB, 59 %, 103.96 W, 43
2026/09/08 00:07:30.928, 27985 MiB, 81920 MiB, 93 %, 95.38 W, 47
2026/09/08 00:08:00.929, 27985 MiB, 81920 MiB, 2 %, 84.40 W, 42
2026/09/08 00:08:30.931, 27985 MiB, 81920 MiB, 3 %, 84.59 W, 42
2026/09/08 00:09:00.932, 27985 MiB, 81920 MiB, 0 %, 68.63 W, 41
2026/09/08 00:09:30.933, 27985 MiB, 81920 MiB, 55 %, 100.35 W, 42
2026/09/08 00:10:00.935, 27985 MiB, 81920 MiB, 78 %, 114.59 W, 47
2026/09/08 00:10:30.937, 27985 MiB, 81920 MiB, 57 %, 292.72 W, 50
2026/09/08 00:11:00.942, 27985 MiB, 81920 MiB, 41 %, 113.75 W, 44
2026/09/08 00:11:30.943, 27985 MiB, 81920 MiB, 16 %, 128.95 W, 44
2026/09/08 00:12:00.945, 27985 MiB, 81920 MiB, 0 %, 68.70 W, 40
2026/09/08 00:12:30.946, 27985 MiB, 81920 MiB, 14 %, 85.04 W, 42
2026/09/08 00:13:00.948, 27985 MiB, 81920 MiB, 11 %, 152.63 W, 43
2026/09/08 00:13:30.949, 27985 MiB, 81920 MiB, 0 %, 83.89 W, 41
2026/09/08 00:14:00.950, 27985 MiB, 81920 MiB, 2 %, 190.00 W, 42
2026/09/08 00:14:30.952, 27985 MiB, 81920 MiB, 92 %, 87.35 W, 44
2026/09/08 00:15:00.953, 27985 MiB, 81920 MiB, 73 %, 253.75 W, 46
2026/09/08 00:15:30.954, 27985 MiB, 81920 MiB, 96 %, 259.17 W, 50
2026/09/08 00:16:00.956, 27985 MiB, 81920 MiB, 34 %, 85.70 W, 43
2026/09/08 00:16:30.957, 27985 MiB, 81920 MiB, 83 %, 169.06 W, 48
2026/09/08 00:17:00.961, 27985 MiB, 81920 MiB, 0 %, 97.58 W, 41
2026/09/08 00:17:30.963, 27985 MiB, 81920 MiB, 1 %, 220.20 W, 44
2026/09/08 00:18:00.965, 27985 MiB, 81920 MiB, 44 %, 91.91 W, 43
2026/09/08 00:18:30.967, 27985 MiB, 81920 MiB, 73 %, 85.79 W, 44
2026/09/08 00:19:00.968, 27985 MiB, 81920 MiB, 99 %, 149.75 W, 48
2026/09/08 00:19:30.969, 27985 MiB, 81920 MiB, 0 %, 84.68 W, 41
2026/09/08 00:20:00.974, 27985 MiB, 81920 MiB, 91 %, 273.12 W, 47
2026/09/08 00:20:30.976, 27985 MiB, 81920 MiB, 0 %, 68.56 W, 40
2026/09/08 00:21:00.977, 27985 MiB, 81920 MiB, 0 %, 84.59 W, 41
2026/09/08 00:21:30.978, 27985 MiB, 81920 MiB, 99 %, 276.72 W, 49
2026/09/08 00:22:00.979, 27985 MiB, 81920 MiB, 31 %, 240.56 W, 43
2026/09/08 00:22:30.981, 27985 MiB, 81920 MiB, 64 %, 89.66 W, 44
2026/09/08 00:23:00.982, 27985 MiB, 81920 MiB, 45 %, 111.58 W, 43
2026/09/08 00:23:30.984, 27985 MiB, 81920 MiB, 55 %, 85.88 W, 46
2026/09/08 00:24:00.986, 27985 MiB, 81920 MiB, 75 %, 84.86 W, 43
2026/09/08 00:24:30.987, 27985 MiB, 81920 MiB, 0 %, 84.23 W, 41
2026/09/08 00:25:00.991, 27985 MiB, 81920 MiB, 38 %, 137.71 W, 44
2026/09/08 00:25:30.993, 27985 MiB, 81920 MiB, 79 %, 291.24 W, 50
2026/09/08 00:26:00.994, 27985 MiB, 81920 MiB, 89 %, 88.64 W, 47
2026/09/08 00:26:30.995, 27985 MiB, 81920 MiB, 60 %, 101.43 W, 45
2026/09/08 00:27:00.997, 27985 MiB, 81920 MiB, 92 %, 86.85 W, 46
2026/09/08 00:27:30.998, 27985 MiB, 81920 MiB, 76 %, 259.17 W, 48
2026/09/08 00:28:00.999, 27985 MiB, 81920 MiB, 0 %, 84.49 W, 42
2026/09/08 00:28:31.000, 27985 MiB, 81920 MiB, 0 %, 67.89 W, 38
2026/09/08 00:29:01.001, 27985 MiB, 81920 MiB, 91 %, 274.04 W, 45
2026/09/08 00:29:31.002, 27985 MiB, 81920 MiB, 0 %, 68.29 W, 39
2026/09/08 00:30:01.004, 27985 MiB, 81920 MiB, 15 %, 83.90 W, 45
2026/09/08 00:30:31.006, 27985 MiB, 81920 MiB, 9 %, 85.28 W, 42
2026/09/08 00:31:01.007, 27985 MiB, 81920 MiB, 0 %, 239.59 W, 44
2026/09/08 00:31:31.009, 27985 MiB, 81920 MiB, 30 %, 84.40 W, 42
2026/09/08 00:32:01.010, 27985 MiB, 81920 MiB, 0 %, 84.08 W, 41
2026/09/08 00:32:31.012, 27985 MiB, 81920 MiB, 2 %, 83.99 W, 41
2026/09/08 00:33:01.013, 27985 MiB, 81920 MiB, 42 %, 88.32 W, 42
2026/09/08 00:33:31.015, 27985 MiB, 81920 MiB, 9 %, 279.36 W, 46
2026/09/08 00:34:01.016, 27985 MiB, 81920 MiB, 3 %, 80.61 W, 40
2026/09/08 00:34:31.030, 27985 MiB, 81920 MiB, 44 %, 119.18 W, 43
2026/09/08 00:35:01.031, 27985 MiB, 81920 MiB, 0 %, 84.16 W, 42
2026/09/08 00:35:31.033, 27985 MiB, 81920 MiB, 38 %, 121.88 W, 44
2026/09/08 00:36:01.034, 27985 MiB, 81920 MiB, 92 %, 133.90 W, 48
2026/09/08 00:36:31.035, 27985 MiB, 81920 MiB, 73 %, 102.43 W, 46
2026/09/08 00:37:01.036, 27985 MiB, 81920 MiB, 0 %, 84.77 W, 43
2026/09/08 00:37:31.037, 27985 MiB, 81920 MiB, 8 %, 106.68 W, 45
2026/09/08 00:38:01.038, 27985 MiB, 81920 MiB, 86 %, 291.84 W, 50
