timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:58:01.133, 27729 MiB, 81920 MiB, 5 %, 239.61 W, 46
2026/09/07 22:58:31.134, 27729 MiB, 81920 MiB, 4 %, 122.48 W, 46
2026/09/07 22:59:01.135, 27953 MiB, 81920 MiB, 57 %, 102.98 W, 45
2026/09/07 22:59:31.137, 27953 MiB, 81920 MiB, 0 %, 89.85 W, 43
2026/09/07 23:00:01.137, 27953 MiB, 81920 MiB, 86 %, 269.30 W, 45
2026/09/07 23:00:31.139, 27953 MiB, 81920 MiB, 0 %, 89.84 W, 42
2026/09/07 23:01:01.144, 27953 MiB, 81920 MiB, 58 %, 103.96 W, 45
2026/09/07 23:01:31.145, 27953 MiB, 81920 MiB, 2 %, 92.15 W, 42
2026/09/07 23:02:01.148, 27953 MiB, 81920 MiB, 0 %, 71.88 W, 41
2026/09/07 23:02:31.150, 27953 MiB, 81920 MiB, 0 %, 89.06 W, 41
2026/09/07 23:03:01.155, 27953 MiB, 81920 MiB, 2 %, 79.87 W, 40
2026/09/07 23:03:31.156, 27953 MiB, 81920 MiB, 4 %, 90.16 W, 43
2026/09/07 23:04:01.158, 27953 MiB, 81920 MiB, 6 %, 92.22 W, 42
2026/09/07 23:04:31.160, 27953 MiB, 81920 MiB, 80 %, 295.96 W, 50
2026/09/07 23:05:01.161, 27953 MiB, 81920 MiB, 0 %, 89.93 W, 42
2026/09/07 23:05:31.162, 27953 MiB, 81920 MiB, 0 %, 88.88 W, 42
2026/09/07 23:06:01.164, 27953 MiB, 81920 MiB, 17 %, 114.71 W, 42
2026/09/07 23:06:31.165, 27953 MiB, 81920 MiB, 36 %, 123.42 W, 45
2026/09/07 23:07:01.166, 27953 MiB, 81920 MiB, 0 %, 89.15 W, 42
2026/09/07 23:07:31.167, 27953 MiB, 81920 MiB, 94 %, 127.83 W, 49
2026/09/07 23:08:01.169, 27953 MiB, 81920 MiB, 0 %, 89.15 W, 42
2026/09/07 23:08:31.170, 27953 MiB, 81920 MiB, 0 %, 89.57 W, 42
2026/09/07 23:09:01.172, 27953 MiB, 81920 MiB, 0 %, 89.38 W, 42
2026/09/07 23:09:31.174, 27953 MiB, 81920 MiB, 31 %, 141.32 W, 46
2026/09/07 23:10:01.176, 27953 MiB, 81920 MiB, 15 %, 278.80 W, 48
2026/09/07 23:10:31.177, 27953 MiB, 81920 MiB, 54 %, 196.09 W, 49
2026/09/07 23:11:01.178, 27953 MiB, 81920 MiB, 0 %, 72.20 W, 41
2026/09/07 23:11:31.179, 27953 MiB, 81920 MiB, 0 %, 72.20 W, 41
2026/09/07 23:12:01.180, 27953 MiB, 81920 MiB, 0 %, 89.66 W, 42
2026/09/07 23:12:31.182, 27953 MiB, 81920 MiB, 21 %, 90.02 W, 43
2026/09/07 23:13:01.183, 27953 MiB, 81920 MiB, 2 %, 89.74 W, 42
2026/09/07 23:13:31.184, 27953 MiB, 81920 MiB, 73 %, 299.19 W, 49
2026/09/07 23:14:01.185, 27953 MiB, 81920 MiB, 28 %, 280.86 W, 47
2026/09/07 23:14:31.189, 27953 MiB, 81920 MiB, 58 %, 182.49 W, 46
2026/09/07 23:15:01.191, 27953 MiB, 81920 MiB, 60 %, 174.22 W, 46
2026/09/07 23:15:31.193, 27953 MiB, 81920 MiB, 0 %, 91.12 W, 43
2026/09/07 23:16:01.194, 27953 MiB, 81920 MiB, 6 %, 90.52 W, 46
2026/09/07 23:16:31.196, 27953 MiB, 81920 MiB, 56 %, 91.45 W, 44
2026/09/07 23:17:01.197, 27953 MiB, 81920 MiB, 0 %, 89.57 W, 42
2026/09/07 23:17:31.199, 27953 MiB, 81920 MiB, 1 %, 89.93 W, 42
2026/09/07 23:18:01.200, 27953 MiB, 81920 MiB, 0 %, 89.38 W, 43
2026/09/07 23:18:31.201, 27953 MiB, 81920 MiB, 0 %, 89.38 W, 42
2026/09/07 23:19:01.203, 27953 MiB, 81920 MiB, 100 %, 287.08 W, 47
2026/09/07 23:19:31.204, 27953 MiB, 81920 MiB, 19 %, 114.11 W, 44
