timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:18:00.888, 0 MiB, 81920 MiB, 0 %, 57.83 W, 33
2026/09/07 22:18:30.900, 433 MiB, 81920 MiB, 0 %, 64.95 W, 33
2026/09/07 22:19:00.901, 10643 MiB, 81920 MiB, 0 %, 65.28 W, 33
2026/09/07 22:19:30.902, 25647 MiB, 81920 MiB, 70 %, 174.52 W, 43
2026/09/07 22:20:00.906, 25647 MiB, 81920 MiB, 57 %, 223.32 W, 46
2026/09/07 22:20:30.908, 25647 MiB, 81920 MiB, 33 %, 289.46 W, 47
2026/09/07 22:21:00.909, 25647 MiB, 81920 MiB, 72 %, 241.31 W, 45
2026/09/07 22:21:30.910, 25647 MiB, 81920 MiB, 89 %, 303.37 W, 48
2026/09/07 22:22:00.915, 25647 MiB, 81920 MiB, 45 %, 114.97 W, 42
2026/09/07 22:22:30.917, 25647 MiB, 81920 MiB, 6 %, 271.97 W, 49
2026/09/07 22:23:00.923, 26639 MiB, 81920 MiB, 0 %, 80.63 W, 40
2026/09/07 22:23:30.926, 26639 MiB, 81920 MiB, 2 %, 82.86 W, 41
2026/09/07 22:24:00.927, 26641 MiB, 81920 MiB, 0 %, 80.98 W, 42
2026/09/07 22:24:30.929, 26641 MiB, 81920 MiB, 83 %, 144.55 W, 49
2026/09/07 22:25:00.930, 26641 MiB, 81920 MiB, 85 %, 264.34 W, 50
2026/09/07 22:25:30.932, 26641 MiB, 81920 MiB, 73 %, 81.07 W, 41
2026/09/07 22:26:00.937, 26641 MiB, 81920 MiB, 0 %, 66.21 W, 40
2026/09/07 22:26:30.939, 26641 MiB, 81920 MiB, 100 %, 189.90 W, 46
2026/09/07 22:27:00.940, 26641 MiB, 81920 MiB, 33 %, 289.71 W, 48
2026/09/07 22:27:30.941, 26641 MiB, 81920 MiB, 27 %, 81.76 W, 42
2026/09/07 22:28:00.943, 26641 MiB, 81920 MiB, 0 %, 65.95 W, 39
2026/09/07 22:28:30.944, 26641 MiB, 81920 MiB, 0 %, 80.82 W, 41
2026/09/07 22:29:00.946, 26641 MiB, 81920 MiB, 62 %, 156.04 W, 46
2026/09/07 22:29:30.947, 26641 MiB, 81920 MiB, 96 %, 108.01 W, 46
2026/09/07 22:30:00.949, 26641 MiB, 81920 MiB, 0 %, 80.62 W, 40
2026/09/07 22:30:30.950, 26641 MiB, 81920 MiB, 0 %, 80.98 W, 40
2026/09/07 22:31:00.951, 26641 MiB, 81920 MiB, 0 %, 65.89 W, 40
2026/09/07 22:31:30.952, 26641 MiB, 81920 MiB, 37 %, 270.28 W, 46
2026/09/07 22:32:00.953, 26641 MiB, 81920 MiB, 0 %, 80.90 W, 41
2026/09/07 22:32:30.954, 26641 MiB, 81920 MiB, 49 %, 81.49 W, 42
2026/09/07 22:33:00.956, 26641 MiB, 81920 MiB, 0 %, 80.79 W, 41
2026/09/07 22:33:30.957, 26641 MiB, 81920 MiB, 69 %, 205.64 W, 46
2026/09/07 22:34:00.959, 26641 MiB, 81920 MiB, 76 %, 148.11 W, 44
