timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 22:19:30.899, 0 MiB, 81920 MiB, 0 %, 61.18 W, 35
2026/09/07 22:20:00.911, 0 MiB, 81920 MiB, 0 %, 61.66 W, 36
2026/09/07 22:20:30.913, 10643 MiB, 81920 MiB, 7 %, 68.57 W, 37
2026/09/07 22:21:00.915, 25551 MiB, 81920 MiB, 0 %, 70.04 W, 40
2026/09/07 22:21:30.916, 25551 MiB, 81920 MiB, 44 %, 205.33 W, 46
2026/09/07 22:22:00.918, 25935 MiB, 81920 MiB, 84 %, 125.21 W, 50
2026/09/07 22:22:30.920, 25935 MiB, 81920 MiB, 77 %, 123.01 W, 49
2026/09/07 22:23:00.924, 25935 MiB, 81920 MiB, 0 %, 105.97 W, 44
2026/09/07 22:23:30.926, 25935 MiB, 81920 MiB, 40 %, 374.66 W, 51
2026/09/07 22:24:00.927, 25935 MiB, 81920 MiB, 0 %, 89.15 W, 45
2026/09/07 22:24:30.928, 26703 MiB, 81920 MiB, 82 %, 91.96 W, 48
2026/09/07 22:25:00.929, 26703 MiB, 81920 MiB, 0 %, 88.60 W, 47
2026/09/07 22:25:30.931, 26703 MiB, 81920 MiB, 30 %, 117.17 W, 50
2026/09/07 22:26:00.932, 26703 MiB, 81920 MiB, 0 %, 88.88 W, 44
2026/09/07 22:26:30.934, 26703 MiB, 81920 MiB, 3 %, 253.98 W, 45
2026/09/07 22:27:00.935, 26703 MiB, 81920 MiB, 96 %, 148.87 W, 51
2026/09/07 22:27:30.936, 26703 MiB, 81920 MiB, 52 %, 94.12 W, 46
2026/09/07 22:28:00.937, 26703 MiB, 81920 MiB, 67 %, 309.26 W, 48
2026/09/07 22:28:30.938, 26703 MiB, 81920 MiB, 84 %, 227.03 W, 49
2026/09/07 22:29:00.940, 26703 MiB, 81920 MiB, 23 %, 288.24 W, 48
2026/09/07 22:29:30.943, 26703 MiB, 81920 MiB, 25 %, 257.56 W, 48
2026/09/07 22:30:00.947, 26703 MiB, 81920 MiB, 87 %, 132.01 W, 50
2026/09/07 22:30:30.949, 26703 MiB, 81920 MiB, 0 %, 89.66 W, 45
2026/09/07 22:31:00.950, 26703 MiB, 81920 MiB, 2 %, 88.79 W, 45
2026/09/07 22:31:30.952, 26703 MiB, 81920 MiB, 0 %, 88.70 W, 45
2026/09/07 22:32:00.954, 26703 MiB, 81920 MiB, 85 %, 120.75 W, 51
2026/09/07 22:32:30.955, 26703 MiB, 81920 MiB, 45 %, 89.66 W, 46
2026/09/07 22:33:00.955, 26703 MiB, 81920 MiB, 69 %, 92.15 W, 46
2026/09/07 22:33:30.957, 26703 MiB, 81920 MiB, 52 %, 305.13 W, 52
2026/09/07 22:34:00.959, 26703 MiB, 81920 MiB, 0 %, 88.28 W, 44
2026/09/07 22:34:30.960, 26703 MiB, 81920 MiB, 0 %, 88.88 W, 45
2026/09/07 22:35:00.961, 26703 MiB, 81920 MiB, 29 %, 195.89 W, 49
2026/09/07 22:35:30.963, 26703 MiB, 81920 MiB, 16 %, 128.28 W, 48
2026/09/07 22:36:00.965, 26703 MiB, 81920 MiB, 99 %, 187.03 W, 48
2026/09/07 22:36:30.967, 26703 MiB, 81920 MiB, 76 %, 234.12 W, 51
2026/09/07 22:37:00.972, 26703 MiB, 81920 MiB, 0 %, 89.75 W, 46
2026/09/07 22:37:30.974, 26703 MiB, 81920 MiB, 84 %, 188.50 W, 50
2026/09/07 22:38:00.975, 26703 MiB, 81920 MiB, 57 %, 95.01 W, 47
2026/09/07 22:38:30.976, 26705 MiB, 81920 MiB, 2 %, 120.41 W, 47
2026/09/07 22:39:00.977, 26705 MiB, 81920 MiB, 95 %, 110.00 W, 50
2026/09/07 22:39:30.978, 26705 MiB, 81920 MiB, 0 %, 90.90 W, 45
2026/09/07 22:40:00.979, 26705 MiB, 81920 MiB, 58 %, 287.40 W, 51
2026/09/07 22:40:30.980, 26705 MiB, 81920 MiB, 49 %, 92.43 W, 50
2026/09/07 22:41:00.981, 26705 MiB, 81920 MiB, 39 %, 284.72 W, 52
2026/09/07 22:41:30.986, 26705 MiB, 81920 MiB, 8 %, 114.94 W, 48
2026/09/07 22:42:00.992, 26705 MiB, 81920 MiB, 0 %, 89.71 W, 46
2026/09/07 22:42:30.994, 26705 MiB, 81920 MiB, 29 %, 89.94 W, 46
2026/09/07 22:43:00.995, 26705 MiB, 81920 MiB, 43 %, 90.12 W, 47
2026/09/07 22:43:30.997, 26705 MiB, 81920 MiB, 80 %, 114.70 W, 50
2026/09/07 22:44:00.999, 26705 MiB, 81920 MiB, 88 %, 221.63 W, 52
2026/09/07 22:44:31.000, 26705 MiB, 81920 MiB, 77 %, 114.02 W, 49
2026/09/07 22:45:01.001, 26705 MiB, 81920 MiB, 0 %, 71.88 W, 44
2026/09/07 22:45:31.003, 26705 MiB, 81920 MiB, 29 %, 154.46 W, 49
2026/09/07 22:46:01.004, 26705 MiB, 81920 MiB, 73 %, 288.56 W, 52
2026/09/07 22:46:31.006, 26705 MiB, 81920 MiB, 0 %, 88.79 W, 45
2026/09/07 22:47:01.009, 26705 MiB, 81920 MiB, 72 %, 90.16 W, 47
2026/09/07 22:47:31.010, 26705 MiB, 81920 MiB, 67 %, 90.16 W, 49
